catchment,area_km2,elev_mean_m,slope_mean_pct,urban_pct,agri_pct,forest_pct,wetland_pct,water_pct,peat_soil_pct,n_subcatchments,n_discharge_stations
Aurajoki,869.0,59.3,4.01,6.6,48.1,43.0,1.7,0.2,5.6,52,1
Halikonjoki,309.4,70.8,4.51,2.3,51.7,45.1,0.8,0.0,0.0,17,0
Hirvijoki,291.1,39.1,4.62,4.8,43.6,50.1,1.5,0.0,6.4,13,0
Hounijoki,367.2,67.3,5.35,6.0,28.2,60.7,0.9,3.0,0.7,24,2
Ilolanjoki,306.1,39.8,6.51,1.8,34.1,61.0,0.0,3.0,0.8,32,1
Juustilanjoki,194.7,64.0,5.08,3.9,35.4,54.9,1.0,4.5,0.0,19,0
Karjaanjoki,2045.4,80.9,6.38,2.7,25.1,60.5,0.2,11.4,0.0,193,6
Kiskonjoki,1045.7,57.2,6.37,0.8,31.1,62.2,0.2,5.5,0.0,76,0
Koskenkylanjoki,899.5,59.2,5.1,1.2,40.4,53.8,0.3,4.3,2.3,56,2
Laajoki,409.3,42.1,3.74,0.4,21.6,68.8,7.3,1.9,23.3,24,0
Mustijoki,770.4,74.4,5.11,2.9,41.9,53.6,0.0,1.4,0.0,50,2
Mynajoki,289.8,43.7,4.14,2.7,32.4,62.6,2.0,0.3,17.0,17,0
Paimionjoki,1094.4,82.8,3.95,2.5,53.8,41.6,0.7,1.5,0.0,83,0
Porvoonjoki,1277.1,79.4,5.38,5.5,40.6,52.4,0.2,1.1,0.0,73,1
Sipoonjoki,226.0,41.3,6.31,8.1,40.2,51.4,0.0,0.1,0.0,19,1
Sirppujoki,429.4,25.4,4.09,3.1,40.0,54.9,0.9,1.0,4.7,26,1
Siuntionjoki,484.3,50.1,6.76,7.0,31.8,56.0,0.4,4.6,0.0,34,2
Summajoki,563.7,58.0,4.89,0.9,24.5,68.8,4.0,1.7,4.7,36,1
Taasianjoki,527.5,41.5,4.22,0.7,37.7,60.9,0.1,0.4,0.0,25,1
Tervajoki,109.8,52.3,5.72,0.0,17.5,79.5,0.0,3.0,0.0,11,0
Urpalanjoki,462.9,58.4,4.79,1.5,20.5,71.4,0.9,5.0,11.0,34,0
Uskelanjoki,566.0,76.6,4.48,3.8,54.5,40.7,0.3,0.5,0.0,30,1
Vaalimaanjoki,241.4,43.3,5.09,1.0,17.7,78.0,0.4,2.5,5.1,14,0
Vantaanjoki,1681.8,75.1,5.13,16.6,31.8,49.0,0.2,1.9,3.6,103,6
Vehkajoki,381.9,41.0,5.69,1.9,21.2,71.7,1.2,3.9,0.0,37,0
Vilajoki,256.0,61.0,5.55,0.4,12.3,80.9,0.7,5.3,0.0,23,0
Vironjoki,359.3,49.7,5.45,0.5,22.1,74.0,0.4,2.9,0.0,37,1
