Date,2800300,simulated_1026
2016-01-01T00:00:00,,0
2016-01-02T00:00:00,,0
2016-01-03T00:00:00,,0
2016-01-04T00:00:00,,0
2016-01-05T00:00:00,,0
2016-01-06T00:00:00,,0
2016-01-07T00:00:00,,0
2016-01-08T00:00:00,,0
2016-01-09T00:00:00,,0
2016-01-10T00:00:00,,0
2016-01-11T00:00:00,,0
2016-01-12T00:00:00,,0
2016-01-13T00:00:00,,0
2016-01-14T00:00:00,,0
2016-01-15T00:00:00,,0
2016-01-16T00:00:00,,0
2016-01-17T00:00:00,,0
2016-01-18T00:00:00,,0
2016-01-19T00:00:00,,0
2016-01-20T00:00:00,,0
2016-01-21T00:00:00,,0
2016-01-22T00:00:00,,0
2016-01-23T00:00:00,,0
2016-01-24T00:00:00,,0.016
2016-01-25T00:00:00,,0.027
2016-01-26T00:00:00,,2.257
2016-01-27T00:00:00,,3.554
2016-01-28T00:00:00,,2.612
2016-01-29T00:00:00,,2.516
2016-01-30T00:00:00,,2.296
2016-01-31T00:00:00,,1.75
2016-02-01T00:00:00,,1.504
2016-02-02T00:00:00,,2.285
2016-02-03T00:00:00,,2.091
2016-02-04T00:00:00,,1.651
2016-02-05T00:00:00,,1.445
2016-02-06T00:00:00,,1.357
2016-02-07T00:00:00,,2.424
2016-02-08T00:00:00,,5.549
2016-02-09T00:00:00,,10.758
2016-02-10T00:00:00,,15.119
2016-02-11T00:00:00,,16.342
2016-02-12T00:00:00,,15.068
2016-02-13T00:00:00,,12.025
2016-02-14T00:00:00,,9.867
2016-02-15T00:00:00,,7.771
2016-02-16T00:00:00,,5.933
2016-02-17T00:00:00,,4.684
2016-02-18T00:00:00,,3.928
2016-02-19T00:00:00,,3.792
2016-02-20T00:00:00,,4.071
2016-02-21T00:00:00,,7.178
2016-02-22T00:00:00,,6.834
2016-02-23T00:00:00,,5.279
2016-02-24T00:00:00,,4.24
2016-02-25T00:00:00,,3.573
2016-02-26T00:00:00,,3.133
2016-02-27T00:00:00,,2.828
2016-02-28T00:00:00,,2.599
2016-02-29T00:00:00,,2.415
2016-03-01T00:00:00,,2.256
2016-03-02T00:00:00,,2.11
2016-03-03T00:00:00,,1.975
2016-03-04T00:00:00,,1.895
2016-03-05T00:00:00,,1.873
2016-03-06T00:00:00,,1.944
