subid,municipality,area_fraction
1001,loimaa,0.012773
1001,oripää,0.987227
1002,oripää,1.000000
1003,oripää,0.339853
1003,pöytyä,0.660147
1004,loimaa,0.109769
1004,oripää,0.226456
1004,pöytyä,0.663775
1005,oripää,0.089141
1005,pöytyä,0.910859
1006,pöytyä,1.000000
1007,pöytyä,1.000000
1008,pöytyä,1.000000
1009,pöytyä,1.000000
1010,pöytyä,1.000000
1011,loimaa,0.542936
1011,pöytyä,0.457064
1012,pöytyä,1.000000
1013,pöytyä,1.000000
1014,pöytyä,1.000000
1015,pöytyä,1.000000
1016,pöytyä,1.000000
1017,pöytyä,1.000000
1018,pöytyä,1.000000
1019,aura,0.313247
1019,pöytyä,0.514568
1019,rusko,0.007485
1019,turku,0.164700
1020,aura,0.025746
1020,masku,0.153578
1020,mynämäki,0.015635
1020,nousiainen,0.218732
1020,rusko,0.311904
1020,turku,0.274404
1021,loimaa,0.579456
1021,pöytyä,0.420544
1022,pöytyä,1.000000
1023,aura,0.953731
1023,lieto,0.001889
1023,pöytyä,0.044380
1024,aura,0.172288
1024,pöytyä,0.827712
1025,aura,0.676502
1025,lieto,0.005252
1025,pöytyä,0.318246
1026,aura,1.000000
1027,aura,0.360967
1027,pöytyä,0.639033
1028,aura,0.440555
1028,lieto,0.559445
1029,aura,0.752489
1029,lieto,0.247511
1030,aura,1.000000
1031,aura,0.681627
1031,lieto,0.318373
1032,aura,0.034517
1032,lieto,0.965440
1032,turku,0.000043
1033,lieto,1.000000
1034,aura,0.150212
1034,lieto,0.849788
1035,aura,0.203671
1035,lieto,0.796329
1036,lieto,1.000000
1037,lieto,1.000000
1038,lieto,0.571135
1038,paimio,0.428865
1039,lieto,1.000000
1040,kaarina,0.082570
1040,lieto,0.858345
1040,paimio,0.059085
1041,lieto,1.000000
1042,kaarina,0.141163
1042,lieto,0.858837
1043,lieto,1.000000
1044,lieto,1.000000
1045,lieto,0.881235
1045,turku,0.118765
1046,kaarina,0.042195
1046,lieto,0.957805
1047,aura,0.039879
1047,kaarina,0.004178
1047,lieto,0.073106
1047,masku,0.000110
1047,rusko,0.138863
1047,turku,0.743864
1048,kaarina,0.495325
1048,lieto,0.269316
1048,turku,0.235359
1049,turku,1.000000
1050,kaarina,0.155519
1050,turku,0.844481
1051,turku,1.000000
1052,aura,0.008298
1052,masku,0.010857
1052,mynämäki,0.020129
1052,nousiainen,0.096877
1052,pöytyä,0.830167
1052,rusko,0.020247
1052,turku,0.013425
