subid,municipality,area_fraction
1001,salo,1.000000
1002,salo,0.993818
1002,somero,0.006182
1003,marttila,0.410143
1003,salo,0.589857
1004,marttila,0.000061
1004,salo,0.999939
1005,koski tl,0.003217
1005,salo,0.996783
1006,marttila,0.090641
1006,salo,0.909359
1007,paimio,0.219337
1007,salo,0.780663
1008,marttila,0.000862
1008,salo,0.999138
1009,salo,1.000000
1010,salo,1.000000
1011,paimio,0.360140
1011,salo,0.639860
1012,salo,1.000000
1013,salo,1.000000
1014,salo,1.000000
1015,salo,1.000000
1016,salo,1.000000
1017,koski tl,0.337768
1017,marttila,0.074833
1017,salo,0.587399
