subid,municipality,area_fraction
1001,masku,0.158303
1001,mynämäki,0.019932
1001,nousiainen,0.733334
1001,rusko,0.088431
1002,mynämäki,0.469120
1002,nousiainen,0.530880
1003,mynämäki,0.218106
1003,nousiainen,0.781894
1004,nousiainen,1.000000
1005,masku,0.024500
1005,nousiainen,0.975500
1006,nousiainen,1.000000
1007,masku,0.005582
1007,nousiainen,0.994418
1008,mynämäki,0.001631
1008,nousiainen,0.998369
1009,masku,0.655930
1009,nousiainen,0.344070
1010,masku,0.351889
1010,mynämäki,0.209450
1010,nousiainen,0.438661
1011,masku,1.000000
1012,masku,1.000000
1013,masku,0.738206
1013,nousiainen,0.196689
1013,rusko,0.065105
