Date,0605800,simulated_1015,0601000,simulated_1024
2016-01-01T00:00:00,,0,,0
2016-01-02T00:00:00,,0,,0
2016-01-03T00:00:00,,0,,0
2016-01-04T00:00:00,,0,,0
2016-01-05T00:00:00,,0,,0
2016-01-06T00:00:00,,0,,0
2016-01-07T00:00:00,,0,,0
2016-01-08T00:00:00,,0,,0
2016-01-09T00:00:00,,0,,0
2016-01-10T00:00:00,,0,,0
2016-01-11T00:00:00,,0,,0
2016-01-12T00:00:00,,0,,0
2016-01-13T00:00:00,,0,,0
2016-01-14T00:00:00,,0,,0
2016-01-15T00:00:00,,0,,0
2016-01-16T00:00:00,,0,,0
2016-01-17T00:00:00,,0,,0
2016-01-18T00:00:00,,0,,0
2016-01-19T00:00:00,,0,,0
2016-01-20T00:00:00,,0,,0
2016-01-21T00:00:00,,0,,0
2016-01-22T00:00:00,,0,,0
2016-01-23T00:00:00,,0,,0
2016-01-24T00:00:00,,0,,0
2016-01-25T00:00:00,,0,,0
2016-01-26T00:00:00,,0.06,,0.099
2016-01-27T00:00:00,,0.173,,0.278
2016-01-28T00:00:00,,0.245,,0.373
2016-01-29T00:00:00,,0.28,,0.423
2016-01-30T00:00:00,,0.335,,0.517
2016-01-31T00:00:00,,0.366,,0.56
2016-02-01T00:00:00,,0.364,,0.561
2016-02-02T00:00:00,,0.382,,0.606
2016-02-03T00:00:00,,0.387,,0.62
2016-02-04T00:00:00,,0.376,,0.618
2016-02-05T00:00:00,,0.364,,0.614
2016-02-06T00:00:00,,0.352,,0.612
2016-02-07T00:00:00,,0.369,,0.66
2016-02-08T00:00:00,,0.405,,0.731
2016-02-09T00:00:00,,0.493,,0.895
2016-02-10T00:00:00,,0.617,,1.114
2016-02-11T00:00:00,,0.7,,1.264
2016-02-12T00:00:00,,0.752,,1.379
2016-02-13T00:00:00,,0.794,,1.488
2016-02-14T00:00:00,,0.896,,1.702
2016-02-15T00:00:00,,0.932,,1.783
2016-02-16T00:00:00,,0.902,,1.784
2016-02-17T00:00:00,,0.873,,1.784
2016-02-18T00:00:00,,0.858,,1.795
2016-02-19T00:00:00,,0.876,,1.849
2016-02-20T00:00:00,,0.907,,1.912
2016-02-21T00:00:00,,0.946,,1.982
2016-02-22T00:00:00,,0.964,,2.009
2016-02-23T00:00:00,,0.966,,2.009
2016-02-24T00:00:00,,0.962,,1.996
2016-02-25T00:00:00,,0.964,,1.986
2016-02-26T00:00:00,,0.966,,1.974
2016-02-27T00:00:00,,0.965,,1.951
2016-02-28T00:00:00,,0.962,,1.923
2016-02-29T00:00:00,,0.956,,1.89
2016-03-01T00:00:00,,0.949,,1.853
2016-03-02T00:00:00,,0.94,,1.813
2016-03-03T00:00:00,,0.931,,1.772
2016-03-04T00:00:00,,0.921,,1.729
2016-03-05T00:00:00,,0.929,,1.718
2016-03-06T00:00:00,,0.949,,1.722
2016-03-07T00:00:00,,0.979,,1.743
2016-03-08T00:00:00,,1.065,,1.865
2016-03-09T00:00:00,,1.117,,1.913
2016-03-10T00:00:00,,1.119,,1.902
2016-03-11T00:00:00,,1.108,,1.875
2016-03-12T00:00:00,,1.096,,1.844
2016-03-13T00:00:00,,1.083,,1.806
2016-03-14T00:00:00,,1.077,,1.779
2016-03-15T00:00:00,,1.073,,1.754
2016-03-16T00:00:00,,1.114,,1.82
2016-03-17T00:00:00,,1.168,,1.897
2016-03-18T00:00:00,,1.18,,1.91
2016-03-19T00:00:00,,1.17,,1.898
2016-03-20T00:00:00,,1.156,,1.88
2016-03-21T00:00:00,,1.144,,1.858
2016-03-22T00:00:00,,1.132,,1.833
2016-03-23T00:00:00,,1.119,,1.803
2016-03-24T00:00:00,,1.106,,1.77
2016-03-25T00:00:00,,1.097,,1.743
2016-03-26T00:00:00,,1.104,,1.741
2016-03-27T00:00:00,,1.126,,1.767
2016-03-28T00:00:00,,1.154,,1.804
2016-03-29T00:00:00,,1.166,,1.824
2016-03-30T00:00:00,,1.185,,1.869
2016-03-31T00:00:00,,1.192,,1.891
2016-04-01T00:00:00,,1.207,,1.931
2016-04-02T00:00:00,,1.228,,1.975
2016-04-03T00:00:00,,1.229,,1.982
2016-04-04T00:00:00,,1.225,,1.983
2016-04-05T00:00:00,,1.24,,2.013
2016-04-06T00:00:00,,1.354,,2.224
2016-04-07T00:00:00,,1.423,,2.327
2016-04-08T00:00:00,,1.442,,2.379
2016-04-09T00:00:00,,1.449,,2.408
2016-04-10T00:00:00,,1.451,,2.425
2016-04-11T00:00:00,,1.458,,2.46
2016-04-12T00:00:00,,1.461,,2.473
2016-04-13T00:00:00,,1.471,,2.509
2016-04-14T00:00:00,,1.476,,2.522
2016-04-15T00:00:00,,1.475,,2.526
2016-04-16T00:00:00,,1.492,,2.578
2016-04-17T00:00:00,,1.519,,2.67
2016-04-18T00:00:00,,1.525,,2.718
2016-04-19T00:00:00,,1.515,,2.735
2016-04-20T00:00:00,,1.495,,2.716
2016-04-21T00:00:00,,1.469,,2.657
2016-04-22T00:00:00,,1.441,,2.563
2016-04-23T00:00:00,,1.414,,2.47
2016-04-24T00:00:00,,1.388,,2.396
2016-04-25T00:00:00,,1.385,,2.412
2016-04-26T00:00:00,,1.552,,2.792
2016-04-27T00:00:00,,1.753,,3.142
2016-04-28T00:00:00,,1.804,,3.176
2016-04-29T00:00:00,,1.823,,3.22
2016-04-30T00:00:00,,1.914,,3.404
2016-05-01T00:00:00,,1.939,,3.401
2016-05-02T00:00:00,,1.913,,3.328
2016-05-03T00:00:00,,1.881,,3.245
2016-05-04T00:00:00,,1.847,,3.152
2016-05-05T00:00:00,,1.81,,3.048
2016-05-06T00:00:00,,1.776,,2.943
2016-05-07T00:00:00,,1.745,,2.845
2016-05-08T00:00:00,,1.715,,2.75
2016-05-09T00:00:00,,1.684,,2.659
2016-05-10T00:00:00,,1.651,,2.57
2016-05-11T00:00:00,,1.618,,2.485
2016-05-12T00:00:00,,1.589,,2.406
2016-05-13T00:00:00,,1.56,,2.328
2016-05-14T00:00:00,,1.528,,2.25
2016-05-15T00:00:00,,1.495,,2.171
2016-05-16T00:00:00,,1.463,,2.096
2016-05-17T00:00:00,,1.431,,2.025
2016-05-18T00:00:00,,1.401,,1.956
2016-05-19T00:00:00,,1.372,,1.891
2016-05-20T00:00:00,,1.344,,1.827
2016-05-21T00:00:00,,1.315,,1.765
2016-05-22T00:00:00,,1.288,,1.705
2016-05-23T00:00:00,,1.259,,1.646
2016-05-24T00:00:00,,1.229,,1.587
2016-05-25T00:00:00,,1.2,,1.53
2016-05-26T00:00:00,,1.17,,1.475
2016-05-27T00:00:00,,1.143,,1.424
2016-05-28T00:00:00,,1.118,,1.376
2016-05-29T00:00:00,,1.092,,1.329
2016-05-30T00:00:00,,1.065,,1.281
2016-05-31T00:00:00,,1.038,,1.235
2016-06-01T00:00:00,,1.011,,1.19
2016-06-02T00:00:00,,0.986,,1.149
2016-06-03T00:00:00,,0.962,,1.109
2016-06-04T00:00:00,,0.938,,1.07
2016-06-05T00:00:00,,0.916,,1.034
2016-06-06T00:00:00,,0.896,,1
2016-06-07T00:00:00,,0.876,,0.966
2016-06-08T00:00:00,,0.857,,0.933
2016-06-09T00:00:00,,0.84,,0.903
2016-06-10T00:00:00,,0.823,,0.873
2016-06-11T00:00:00,,0.806,,0.843
2016-06-12T00:00:00,,0.79,,0.814
2016-06-13T00:00:00,,0.773,,0.787
2016-06-14T00:00:00,,0.757,,0.76
2016-06-15T00:00:00,,0.739,,0.733
2016-06-16T00:00:00,,0.722,,0.706
2016-06-17T00:00:00,,0.707,,0.684
2016-06-18T00:00:00,,0.7,,0.669
2016-06-19T00:00:00,,0.695,,0.654
2016-06-20T00:00:00,,0.685,,0.635
2016-06-21T00:00:00,,0.671,,0.613
2016-06-22T00:00:00,,0.629,,0.544
2016-06-23T00:00:00,,0.588,,0.488
2016-06-24T00:00:00,,0.566,,0.457
2016-06-25T00:00:00,,0.551,,0.435
2016-06-26T00:00:00,,0.537,,0.415
2016-06-27T00:00:00,,0.526,,0.398
2016-06-28T00:00:00,,0.516,,0.383
