Date,1700500,simulated_1021
2016-01-01T00:00:00,,0
2016-01-02T00:00:00,,0
2016-01-03T00:00:00,,0
2016-01-04T00:00:00,,0
2016-01-05T00:00:00,,0
2016-01-06T00:00:00,,0
2016-01-07T00:00:00,,0
2016-01-08T00:00:00,,0
2016-01-09T00:00:00,,0
2016-01-10T00:00:00,,0
2016-01-11T00:00:00,,0
2016-01-12T00:00:00,,0
2016-01-13T00:00:00,,0
2016-01-14T00:00:00,,0
2016-01-15T00:00:00,,0
2016-01-16T00:00:00,,0
2016-01-17T00:00:00,,0
2016-01-18T00:00:00,,0.001
2016-01-19T00:00:00,,0.001
2016-01-20T00:00:00,,0.001
2016-01-21T00:00:00,,0.001
2016-01-22T00:00:00,,0.001
2016-01-23T00:00:00,,0.001
2016-01-24T00:00:00,,0.004
2016-01-25T00:00:00,,0.005
2016-01-26T00:00:00,,0.158
2016-01-27T00:00:00,,0.321
2016-01-28T00:00:00,,0.389
2016-01-29T00:00:00,,0.447
2016-01-30T00:00:00,,0.587
2016-01-31T00:00:00,,0.564
2016-02-01T00:00:00,,0.548
2016-02-02T00:00:00,,0.59
2016-02-03T00:00:00,,0.594
2016-02-04T00:00:00,,0.58
2016-02-05T00:00:00,,0.568
2016-02-06T00:00:00,,0.561
2016-02-07T00:00:00,,0.754
2016-02-08T00:00:00,,1.073
2016-02-09T00:00:00,,2.572
2016-02-10T00:00:00,,7.331
2016-02-11T00:00:00,,9.3
2016-02-12T00:00:00,,9.006
2016-02-13T00:00:00,,7.997
2016-02-14T00:00:00,,7.696
2016-02-15T00:00:00,,6.852
2016-02-16T00:00:00,,5.718
2016-02-17T00:00:00,,4.721
2016-02-18T00:00:00,,3.97
2016-02-19T00:00:00,,3.546
2016-02-20T00:00:00,,3.651
2016-02-21T00:00:00,,4.156
2016-02-22T00:00:00,,4.297
2016-02-23T00:00:00,,4.009
2016-02-24T00:00:00,,3.619
2016-02-25T00:00:00,,3.265
2016-02-26T00:00:00,,3.004
2016-02-27T00:00:00,,2.812
2016-02-28T00:00:00,,2.655
2016-02-29T00:00:00,,2.517
2016-03-01T00:00:00,,2.391
2016-03-02T00:00:00,,2.274
2016-03-03T00:00:00,,2.166
2016-03-04T00:00:00,,2.065
2016-03-05T00:00:00,,1.988
