subid,municipality,area_fraction
1001,myrskylä,0.850032
1001,pukkila,0.149968
1002,askola,0.423311
1002,myrskylä,0.447741
1002,pukkila,0.128947
1003,askola,0.084677
1003,myrskylä,0.915323
1004,askola,0.062629
1004,myrskylä,0.937371
1005,myrskylä,1.000000
1006,askola,1.000000
1007,askola,1.000000
1008,askola,0.848643
1008,myrskylä,0.020982
1008,porvoo,0.130375
1009,askola,0.125869
1009,loviisa,0.361683
1009,myrskylä,0.144950
1009,porvoo,0.367499
1010,askola,1.000000
1011,askola,1.000000
1012,askola,1.000000
1013,askola,0.527088
1013,porvoo,0.472912
1014,askola,0.999936
1014,porvoo,0.000064
1015,askola,0.085355
1015,porvoo,0.914645
1016,askola,0.303283
1016,porvoo,0.696717
1017,porvoo,1.000000
1018,porvoo,1.000000
1019,porvoo,1.000000
1020,porvoo,1.000000
1021,porvoo,1.000000
1022,loviisa,0.438830
1022,porvoo,0.561170
1023,porvoo,1.000000
1024,porvoo,1.000000
1025,porvoo,1.000000
1026,porvoo,1.000000
1027,askola,1.000000
1028,askola,0.646705
1028,myrskylä,0.353295
1029,porvoo,1.000000
1030,askola,1.000000
1031,porvoo,1.000000
1032,askola,1.000000
