Date,2300240,simulated_1071,2300100,simulated_1063,2300340,simulated_1025,2300402,simulated_1054,2300560,simulated_1083,2300935,simulated_1132
2016-01-01T00:00:00,10.42,0,,0,,0,,0,11.83,0,33.24,0
2016-01-02T00:00:00,10.14,0,,0,,0,,0,11.55,0,33.01,0
2016-01-03T00:00:00,9.9,0,,0,,0,,0,11.27,0,32.74,0
2016-01-04T00:00:00,9.54,0,,0,,0,,0,10.18,0,30.63,0
2016-01-05T00:00:00,8.92,0,,0,,0,,0,9.04,0,26.94,0
2016-01-06T00:00:00,8.16,0,,0,,0,,0,7.8,0,24.24,0
2016-01-07T00:00:00,8.66,0,,0,,0,,0,6.41,0,21.38,0
2016-01-08T00:00:00,8.69,0,,0,,0,,0,4.76,0,17.44,0
2016-01-09T00:00:00,7.88,0,,0,,0,,0,4.72,0,21.18,0
2016-01-10T00:00:00,6.7,0,,0,,0,,0,4.63,0,21.24,0
2016-01-11T00:00:00,6.19,0,,0,,0,,0,4.54,0,21.04,0
2016-01-12T00:00:00,6.01,0,,0,,0,,0,4.45,0,21.12,0
2016-01-13T00:00:00,6.58,0,,0,,0,,0,4.36,0,21.08,0
2016-01-14T00:00:00,6.02,0,,0,,0,,0,4.32,0,21.13,0
2016-01-15T00:00:00,6.38,0,,0,,0,,0,4.23,0,21.21,0
2016-01-16T00:00:00,6.22,0,,0,,0,,0,3.16,0,21.08,0
2016-01-17T00:00:00,5.95,0,,0,,0,,0,3.07,0,21.11,0
2016-01-18T00:00:00,5.91,0,,0,,0,,0,3.07,0,21.18,0
2016-01-19T00:00:00,5.93,0,,0,,0,,0,3.03,0,21.1,0
2016-01-20T00:00:00,5.42,0,,0,,0,,0,2.94,0,21.01,0
2016-01-21T00:00:00,5.2,0,,0,,0,,0,2.94,0,21.13,0
2016-01-22T00:00:00,5.34,0,,0,,0,,0,2.9,0,21.18,0
2016-01-23T00:00:00,5.45,0,,0,,0,,0,2.81,0,21.01,0
2016-01-24T00:00:00,4.93,0.015,,0,,0.006,,0,2.81,0.014,21.08,0
2016-01-25T00:00:00,5.13,0.029,,0,,0.008,,0,2.77,0.034,21.05,0.001
2016-01-26T00:00:00,5.38,0.505,,0.055,,0.074,,0.003,3.7,0.201,21.12,0.007
