subid,municipality,area_fraction
1001,loppi,1.000000
1002,loppi,0.631024
1002,tammela,0.368976
1003,loppi,1.000000
1004,loppi,1.000000
1005,lohja,1.000000
1006,karkkila,1.000000
1007,karkkila,1.000000
1008,karkkila,0.481322
1008,loppi,0.518678
1009,karkkila,1.000000
1010,karkkila,0.474222
1010,loppi,0.525778
1011,karkkila,0.809473
1011,loppi,0.190527
1012,karkkila,1.000000
1013,karkkila,1.000000
1014,karkkila,1.000000
1015,karkkila,1.000000
1016,lohja,1.000000
1017,karkkila,1.000000
1018,somero,1.000000
1019,karkkila,0.648929
1019,loppi,0.076229
1019,vihti,0.274841
1020,lohja,0.091448
1020,salo,0.207287
1020,somero,0.701265
1021,lohja,1.000000
1022,lohja,1.000000
1023,lohja,1.000000
1024,vihti,1.000000
1025,vihti,1.000000
1026,hyvinkää,0.966650
1026,nurmijärvi,0.001090
1026,vihti,0.032260
1027,lohja,0.996638
1027,somero,0.003362
1028,karkkila,1.000000
1029,karkkila,0.958820
1029,lohja,0.041180
1030,lohja,1.000000
1031,lohja,1.000000
1032,lohja,1.000000
1033,karkkila,0.906775
1033,vihti,0.093225
1034,karkkila,0.806688
1034,vihti,0.193312
1035,vihti,1.000000
1036,vihti,1.000000
1037,karkkila,0.377725
1037,lohja,0.026369
1037,vihti,0.595906
1038,karkkila,0.857566
1038,vihti,0.142434
1039,karkkila,0.223853
1039,vihti,0.776147
1040,lohja,0.489323
1040,somero,0.510677
1041,lohja,0.258009
1041,salo,0.741991
1042,lohja,1.000000
1043,lohja,1.000000
1044,nurmijärvi,0.623947
1044,vihti,0.376053
1045,karkkila,0.400505
1045,vihti,0.599495
1046,lohja,1.000000
1047,lohja,1.000000
1048,karkkila,0.016439
1048,vihti,0.983561
1049,lohja,1.000000
1050,vihti,1.000000
1051,vihti,1.000000
1052,lohja,1.000000
1053,karkkila,0.506099
1053,vihti,0.493901
1054,vihti,1.000000
1055,vihti,1.000000
1056,vihti,1.000000
1057,vihti,1.000000
1058,vihti,1.000000
1059,vihti,1.000000
1060,vihti,1.000000
1061,vihti,1.000000
1062,lohja,0.170219
1062,vihti,0.829781
1063,vihti,1.000000
1064,lohja,1.000000
1065,lohja,1.000000
1066,lohja,0.526293
1066,salo,0.473707
1067,lohja,1.000000
1068,lohja,1.000000
1069,lohja,1.000000
1070,lohja,1.000000
1071,lohja,1.000000
1072,lohja,1.000000
1073,lohja,1.000000
1074,lohja,1.000000
1075,vihti,1.000000
1076,lohja,1.000000
1077,lohja,0.089498
1077,vihti,0.910502
1078,lohja,1.000000
1079,lohja,1.000000
1080,lohja,1.000000
1081,lohja,1.000000
1082,lohja,0.937923
1082,vihti,0.062077
1083,lohja,1.000000
1084,lohja,1.000000
1085,lohja,1.000000
1086,lohja,1.000000
1087,lohja,1.000000
1088,lohja,1.000000
1089,lohja,1.000000
1090,lohja,1.000000
1091,lohja,1.000000
1092,lohja,0.258547
1092,raasepori,0.741453
1093,raasepori,1.000000
1094,raasepori,1.000000
1095,raasepori,1.000000
1096,raasepori,1.000000
1097,loppi,1.000000
1098,loppi,1.000000
1099,loppi,1.000000
1100,loppi,1.000000
1101,karkkila,0.323021
1101,loppi,0.676979
1102,karkkila,0.000884
1102,loppi,0.999116
1103,karkkila,1.000000
1104,karkkila,0.629783
1104,lohja,0.370217
1105,lohja,0.059849
1105,somero,0.940151
1106,lohja,1.000000
1107,karkkila,1.000000
1108,karkkila,0.898951
1108,loppi,0.101049
1109,lohja,0.290710
1109,somero,0.709290
1110,karkkila,0.151793
1110,lohja,0.848207
1111,lohja,1.000000
1112,somero,1.000000
1113,lohja,1.000000
1114,karkkila,0.985244
1114,vihti,0.014756
1115,lohja,1.000000
1116,lohja,1.000000
1117,karkkila,0.031291
1117,lohja,0.968708
1117,vihti,0.000000
1118,karkkila,0.128384
1118,vihti,0.871616
1119,lohja,1.000000
1120,lohja,0.987938
1120,salo,0.012062
1121,nurmijärvi,0.070679
1121,vihti,0.929321
1122,lohja,0.781701
1122,salo,0.218299
1123,lohja,1.000000
1124,vihti,1.000000
1125,salo,1.000000
1126,lohja,0.966999
1126,vihti,0.033001
1127,vihti,1.000000
1128,lohja,1.000000
1129,lohja,1.000000
1130,lohja,1.000000
1131,lohja,0.328944
1131,raasepori,0.671056
1132,inkoo,0.013079
1132,lohja,0.000238
1132,raasepori,0.986683
1133,vihti,1.000000
1134,vihti,1.000000
1135,vihti,1.000000
1136,lohja,1.000000
1137,loppi,1.000000
1138,raasepori,1.000000
1139,lohja,1.000000
1140,lohja,1.000000
1141,lohja,0.429525
1141,vihti,0.570475
1142,nurmijärvi,0.042931
1142,vihti,0.957069
1143,lohja,1.000000
1144,karkkila,0.257646
1144,loppi,0.264339
1144,tammela,0.478014
1145,lohja,1.000000
1146,vihti,1.000000
1147,lohja,1.000000
1148,karkkila,0.934344
1148,lohja,0.065656
1149,lohja,1.000000
1150,lohja,1.000000
1151,hyvinkää,0.306771
1151,nurmijärvi,0.693229
1152,lohja,0.882123
1152,raasepori,0.117877
1153,lohja,0.955883
1153,vihti,0.044117
1154,raasepori,1.000000
1155,vihti,1.000000
1156,lohja,0.175348
1156,salo,0.824652
1157,lohja,0.503383
1157,somero,0.496617
1158,lohja,1.000000
1159,somero,1.000000
1160,lohja,1.000000
1161,lohja,1.000000
1162,karkkila,1.000000
1163,lohja,0.507095
1163,somero,0.492905
1164,lohja,1.000000
1165,loppi,0.507436
1165,tammela,0.492564
1166,lohja,1.000000
1167,karkkila,0.797052
1167,lohja,0.202948
1168,loppi,1.000000
1169,lohja,0.366285
1169,salo,0.633715
1170,loppi,0.143629
1170,vihti,0.856371
1171,karkkila,1.000000
1172,lohja,1.000000
1173,loppi,0.941413
1173,tammela,0.058587
1174,lohja,0.999646
1174,somero,0.000354
1175,karkkila,0.120366
1175,lohja,0.879634
1176,karkkila,0.585264
1176,lohja,0.414736
1177,lohja,1.000000
1178,lohja,1.000000
1179,vihti,1.000000
1180,lohja,1.000000
1181,hyvinkää,0.109726
1181,nurmijärvi,0.078527
1181,vihti,0.811747
1182,lohja,1.000000
1183,lohja,1.000000
1184,karkkila,0.154883
1184,lohja,0.845117
1185,loppi,1.000000
1186,karkkila,0.717058
1186,lohja,0.003202
1186,loppi,0.279740
1187,vihti,1.000000
1188,karkkila,0.074407
1188,lohja,0.925593
1189,loppi,1.000000
1190,lohja,1.000000
1191,lohja,1.000000
1192,lohja,1.000000
1193,lohja,0.822779
1193,somero,0.177221
