subid,municipality,area_fraction
1001,lohja,0.218723
1001,salo,0.781277
1002,salo,1.000000
1003,salo,1.000000
1004,salo,1.000000
1005,salo,1.000000
1006,salo,1.000000
1007,salo,1.000000
1008,salo,1.000000
1009,salo,1.000000
1010,salo,1.000000
1011,salo,1.000000
1012,salo,1.000000
1013,salo,1.000000
1014,salo,1.000000
1015,salo,1.000000
1016,lohja,1.000000
1017,salo,1.000000
1018,salo,1.000000
1019,lohja,1.000000
1020,salo,1.000000
1021,salo,1.000000
1022,salo,1.000000
1023,salo,1.000000
1024,salo,1.000000
1025,lohja,0.030958
1025,salo,0.969042
1026,lohja,0.147510
1026,salo,0.852490
1027,lohja,1.000000
1028,salo,1.000000
1029,salo,1.000000
1030,salo,1.000000
1031,salo,1.000000
1032,salo,1.000000
1033,salo,1.000000
1034,salo,1.000000
1035,salo,1.000000
1036,salo,1.000000
1037,salo,1.000000
1038,salo,1.000000
1039,salo,1.000000
1040,salo,1.000000
1041,salo,1.000000
1042,salo,1.000000
1043,raasepori,0.653393
1043,salo,0.346607
1044,salo,1.000000
1045,salo,1.000000
1046,raasepori,1.000000
1047,salo,1.000000
1048,raasepori,0.127820
1048,salo,0.872180
1049,raasepori,0.248206
1049,salo,0.751794
1050,salo,1.000000
1051,salo,1.000000
1052,salo,1.000000
1053,salo,1.000000
1054,salo,1.000000
1055,lohja,0.791167
1055,salo,0.208833
1056,salo,1.000000
1057,raasepori,0.329054
1057,salo,0.670946
1058,salo,1.000000
1059,raasepori,0.252229
1059,salo,0.747771
1060,salo,1.000000
1061,salo,1.000000
1062,salo,1.000000
1063,raasepori,0.310818
1063,salo,0.689182
1064,salo,1.000000
1065,salo,1.000000
1066,lohja,0.843050
1066,salo,0.156950
1067,raasepori,0.001466
1067,salo,0.998534
1068,salo,1.000000
1069,salo,1.000000
1070,salo,1.000000
1071,salo,1.000000
1072,raasepori,0.999480
1072,salo,0.000520
1073,lohja,0.328072
1073,salo,0.671928
1074,salo,1.000000
1075,salo,1.000000
1076,salo,1.000000
