Date,1600110,simulated_1023,1601100,simulated_1046
2016-01-01T00:00:00,4.98,0,5.4,0
2016-01-02T00:00:00,4.76,0,5.1,0
2016-01-03T00:00:00,4.7,0,5.1,0
2016-01-04T00:00:00,4.53,0,4.9,0
2016-01-05T00:00:00,4.42,0,4.9,0
2016-01-06T00:00:00,4.29,0,4.5,0
2016-01-07T00:00:00,4.09,0,4.3,0
2016-01-08T00:00:00,3.99,0,4.1,0
2016-01-09T00:00:00,3.92,0,3.9,0
2016-01-10T00:00:00,3.82,0,4.1,0
2016-01-11T00:00:00,3.73,0,3.9,0
2016-01-12T00:00:00,3.68,0,3.9,0
2016-01-13T00:00:00,3.61,0,3.7,0
2016-01-14T00:00:00,3.52,0,3.7,0
2016-01-15T00:00:00,3.4,0,3.6,0
2016-01-16T00:00:00,3.33,0,3.6,0
2016-01-17T00:00:00,3.28,0,3.2,0
2016-01-18T00:00:00,3.2,0,3.2,0
2016-01-19T00:00:00,3.18,0,3.2,0
2016-01-20T00:00:00,3.1,0,3.1,0
2016-01-21T00:00:00,3.08,0,3.1,0
2016-01-22T00:00:00,2.98,0,3.1,0
2016-01-23T00:00:00,2.93,0,2.9,0
2016-01-24T00:00:00,2.86,0,2.7,0
2016-01-25T00:00:00,2.8,0,2.9,0
2016-01-26T00:00:00,2.84,0.004,2.7,0.001
2016-01-27T00:00:00,2.85,0.09,3.1,0.009
2016-01-28T00:00:00,2.85,0.095,3.7,0.04
2016-01-29T00:00:00,2.9,0.104,5.9,0.114
2016-01-30T00:00:00,2.89,0.117,7.2,0.245
2016-01-31T00:00:00,2.94,0.124,8.2,0.431
2016-02-01T00:00:00,3.0,0.124,5.4,0.629
2016-02-02T00:00:00,3.0,0.133,4.3,0.801
2016-02-03T00:00:00,3.0,0.137,3.7,0.938
2016-02-04T00:00:00,3.0,0.137,3.4,1.027
2016-02-05T00:00:00,3.0,0.136,3.6,1.07
2016-02-06T00:00:00,2.94,0.134,3.2,1.083
2016-02-07T00:00:00,2.95,0.142,3.4,1.126
2016-02-08T00:00:00,2.92,0.17,4.9,1.298
2016-02-09T00:00:00,3.05,0.357,12.0,2.062
2016-02-10T00:00:00,3.31,0.894,25.67,5.616
2016-02-11T00:00:00,3.99,1.059,37.5,13.106
2016-02-12T00:00:00,5.04,0.997,37.5,16.47
2016-02-13T00:00:00,6.22,1.034,30.5,16.064
2016-02-14T00:00:00,7.44,1.276,25.67,15
2016-02-15T00:00:00,8.18,1.204,20.0,13.768
2016-02-16T00:00:00,8.3,1.029,16.8,12.077
2016-02-17T00:00:00,8.28,0.892,14.2,10.178
2016-02-18T00:00:00,8.2,0.798,14.6,8.454
2016-02-19T00:00:00,8.11,0.839,14.2,7.163
2016-02-20T00:00:00,8.0,1.249,13.3,6.589
2016-02-21T00:00:00,7.9,1.896,12.8,6.895
2016-02-22T00:00:00,7.8,1.962,12.4,7.611
2016-02-23T00:00:00,7.65,1.733,12.0,7.909
2016-02-24T00:00:00,7.4,1.517,11.2,7.573
2016-02-25T00:00:00,7.1,1.356,10.8,6.921
2016-02-26T00:00:00,7.1,1.257,10.0,6.258
2016-02-27T00:00:00,,1.18,9.6,5.712
2016-02-28T00:00:00,,1.143,9.2,5.29
2016-02-29T00:00:00,6.4,1.127,8.5,4.966
2016-03-01T00:00:00,6.3,1.124,7.8,4.707
2016-03-02T00:00:00,6.17,1.131,7.5,4.492
2016-03-03T00:00:00,6.0,1.15,7.2,4.31
2016-03-04T00:00:00,5.75,1.175,7.8,4.152
2016-03-05T00:00:00,5.7,1.219,6.9,4.025
2016-03-06T00:00:00,5.58,1.278,6.9,3.945
2016-03-07T00:00:00,5.4,1.353,6.5,4.001
2016-03-08T00:00:00,5.4,1.509,6.5,4.33
2016-03-09T00:00:00,5.19,1.573,6.2,4.904
2016-03-10T00:00:00,5.0,1.582,6.2,5.407
2016-03-11T00:00:00,4.8,1.593,6.2,5.58
2016-03-12T00:00:00,4.78,1.618,5.9,5.494
2016-03-13T00:00:00,4.7,1.643,5.6,5.318
2016-03-14T00:00:00,4.6,1.684,5.4,5.229
2016-03-15T00:00:00,4.6,1.732,5.9,5.363
2016-03-16T00:00:00,4.4,1.885,6.2,6.131
2016-03-17T00:00:00,4.4,2.004,8.9,7.232
2016-03-18T00:00:00,4.4,2.003,12.8,7.739
2016-03-19T00:00:00,4.48,2.015,10.4,7.547
2016-03-20T00:00:00,4.6,2.042,9.6,7.09
2016-03-21T00:00:00,4.66,2.081,7.8,6.663
2016-03-22T00:00:00,4.7,2.125,6.9,6.336
2016-03-23T00:00:00,4.7,2.169,6.5,6.094
2016-03-24T00:00:00,4.66,2.211,6.9,5.906
2016-03-25T00:00:00,4.6,2.281,5.9,5.847
2016-03-26T00:00:00,4.6,2.371,5.9,5.985
2016-03-27T00:00:00,4.6,2.513,8.5,6.337
