subid,municipality,area_fraction
1001,iitti,0.521217
1001,lahti,0.405759
1001,orimattila,0.073024
1002,lahti,0.388570
1002,orimattila,0.611430
1003,iitti,1.000000
1004,iitti,0.031983
1004,lahti,0.113596
1004,orimattila,0.854421
1005,iitti,0.997650
1005,orimattila,0.002350
1006,iitti,1.000000
1007,iitti,1.000000
1008,orimattila,1.000000
1009,lahti,0.234881
1009,orimattila,0.765119
1010,orimattila,1.000000
1011,iitti,0.296452
1011,orimattila,0.703548
1012,orimattila,1.000000
1013,orimattila,1.000000
1014,orimattila,1.000000
1015,orimattila,1.000000
1016,orimattila,1.000000
1017,orimattila,1.000000
1018,orimattila,1.000000
1019,orimattila,1.000000
1020,orimattila,1.000000
1021,myrskylä,0.659367
1021,orimattila,0.340633
1022,myrskylä,0.414057
1022,orimattila,0.585943
1023,lapinjärvi,0.745449
1023,orimattila,0.254551
1024,lapinjärvi,0.617764
1024,myrskylä,0.195123
1024,orimattila,0.187113
1025,myrskylä,1.000000
1026,myrskylä,0.771434
1026,orimattila,0.228566
1027,myrskylä,1.000000
1028,lapinjärvi,0.381947
1028,myrskylä,0.618053
1029,myrskylä,1.000000
1030,myrskylä,0.959350
1030,pukkila,0.040650
1031,loviisa,0.964835
1031,myrskylä,0.035165
1032,loviisa,0.128382
1032,myrskylä,0.871618
1033,lapinjärvi,0.073431
1033,loviisa,0.926567
1033,myrskylä,0.000002
1034,loviisa,1.000000
1035,loviisa,0.954282
1035,myrskylä,0.045718
1036,loviisa,1.000000
1037,loviisa,1.000000
1038,loviisa,1.000000
1039,loviisa,0.811264
1039,myrskylä,0.188736
1040,loviisa,1.000000
1041,loviisa,1.000000
1042,loviisa,1.000000
1043,loviisa,0.984459
1043,myrskylä,0.015541
1044,myrskylä,1.000000
1045,lapinjärvi,0.747536
1045,loviisa,0.180753
1045,myrskylä,0.071711
1046,loviisa,1.000000
1047,orimattila,1.000000
1048,myrskylä,1.000000
1049,myrskylä,1.000000
1050,loviisa,1.000000
1051,lapinjärvi,0.036578
1051,loviisa,0.963422
1052,orimattila,1.000000
1053,lapinjärvi,0.129266
1053,orimattila,0.870734
1054,lapinjärvi,0.108706
1054,myrskylä,0.891294
1055,loviisa,1.000000
1056,iitti,0.987836
1056,orimattila,0.012164
