subid,municipality,area_fraction
1001,laitila,0.942453
1001,mynämäki,0.057547
1002,eura,0.170518
1002,laitila,0.829482
1003,laitila,0.393221
1003,mynämäki,0.606779
1004,mynämäki,1.000000
1005,mynämäki,0.997849
1005,pöytyä,0.002151
1006,mynämäki,0.167800
1006,pöytyä,0.832200
1007,laitila,0.900324
1007,mynämäki,0.099676
1008,laitila,0.115204
1008,mynämäki,0.884796
1009,laitila,0.018023
1009,mynämäki,0.981977
1010,laitila,0.084144
1010,mynämäki,0.915856
1011,mynämäki,1.000000
1012,mynämäki,1.000000
1013,laitila,0.007655
1013,mynämäki,0.992345
1014,laitila,0.008404
1014,mynämäki,0.981301
1014,vehmaa,0.010295
1015,mynämäki,1.000000
1016,mynämäki,1.000000
1017,mynämäki,0.937986
1017,vehmaa,0.062014
1018,mynämäki,0.800693
1018,vehmaa,0.199307
1019,eura,0.141651
1019,mynämäki,0.213066
1019,pöytyä,0.636091
1019,säkylä,0.009193
1020,mynämäki,0.010862
1020,pöytyä,0.989138
1021,pöytyä,1.000000
1022,mynämäki,1.000000
1023,pöytyä,1.000000
1024,pöytyä,1.000000
