Date,1900400,simulated_1028,1900100,simulated_1035
2016-01-01T00:00:00,0.95,0,2.9,0
2016-01-02T00:00:00,0.95,0,2.7,0
2016-01-03T00:00:00,0.75,0,2.4,0
2016-01-04T00:00:00,0.75,0,2.2,0
2016-01-05T00:00:00,0.6,0,1.91,0
2016-01-06T00:00:00,0.6,0,1.72,0
2016-01-07T00:00:00,0.51,0,1.72,0
2016-01-08T00:00:00,0.51,0,1.5,0
2016-01-09T00:00:00,0.51,0,1.18,0
2016-01-10T00:00:00,0.4,0,0.76,0
2016-01-11T00:00:00,0.39,0,0.76,0
2016-01-12T00:00:00,0.39,0,1.0,0
2016-01-13T00:00:00,0.39,0,0.83,0
2016-01-14T00:00:00,0.39,0,0.92,0
2016-01-15T00:00:00,0.39,0,1.0,0
2016-01-16T00:00:00,0.39,0,0.92,0
2016-01-17T00:00:00,0.39,0,0.83,0
2016-01-18T00:00:00,0.39,0,0.76,0
2016-01-19T00:00:00,0.39,0,1.0,0
2016-01-20T00:00:00,0.39,0,0.76,0
2016-01-21T00:00:00,0.39,0,0.76,0
2016-01-22T00:00:00,0.39,0,0.69,0
2016-01-23T00:00:00,0.39,0,0.69,0
2016-01-24T00:00:00,0.31,0,0.69,0.001
2016-01-25T00:00:00,0.31,0,0.76,0.002
2016-01-26T00:00:00,0.31,0.073,1.5,0.104
2016-01-27T00:00:00,0.31,0.17,0.92,0.315
2016-01-28T00:00:00,0.75,0.245,2.5,0.546
2016-01-29T00:00:00,1.15,0.292,5.7,0.73
2016-01-30T00:00:00,1.15,0.355,6.6,0.9
2016-01-31T00:00:00,1.15,0.395,7.9,1.042
2016-02-01T00:00:00,1.15,0.407,5.2,1.122
2016-02-02T00:00:00,1.15,0.417,3.4,1.168
2016-02-03T00:00:00,1.15,0.424,2.8,1.191
2016-02-04T00:00:00,1.15,0.426,2.4,1.193
2016-02-05T00:00:00,0.75,0.425,2.2,1.184
2016-02-06T00:00:00,0.6,0.425,1.91,1.172
2016-02-07T00:00:00,1.15,0.46,2.4,1.249
2016-02-08T00:00:00,2.0,0.604,5.2,1.516
2016-02-09T00:00:00,8.6,1.727,17.3,3.224
2016-02-10T00:00:00,21.0,5.357,39.0,9.523
2016-02-11T00:00:00,36.0,7.288,56.33,15.747
2016-02-12T00:00:00,21.0,8.154,42.0,18.781
2016-02-13T00:00:00,16.3,8.075,25.33,19.056
2016-02-14T00:00:00,11.4,8.484,17.0,18.824
2016-02-15T00:00:00,6.8,8.126,12.6,17.972
2016-02-16T00:00:00,5.3,7.164,10.0,16.071
2016-02-17T00:00:00,5.3,6.198,8.3,13.716
2016-02-18T00:00:00,3.6,5.406,7.4,11.573
2016-02-19T00:00:00,2.7,4.824,6.6,9.968
2016-02-20T00:00:00,2.7,4.764,6.1,9.279
2016-02-21T00:00:00,4.7,5.014,5.7,9.524
2016-02-22T00:00:00,4.7,5.02,5.4,9.822
2016-02-23T00:00:00,3.3,4.745,5.2,9.583
2016-02-24T00:00:00,3.3,4.366,4.9,8.917
2016-02-25T00:00:00,2.7,4.04,4.8,8.145
2016-02-26T00:00:00,2.7,3.784,4.6,7.485
2016-02-27T00:00:00,0.95,3.567,4.2,6.963
2016-02-28T00:00:00,0.75,3.367,4.0,6.529
2016-02-29T00:00:00,0.75,3.18,3.7,6.143
2016-03-01T00:00:00,0.51,3.005,3.4,5.787
2016-03-02T00:00:00,0.51,2.84,3.3,5.456
2016-03-03T00:00:00,0.39,2.685,3.2,5.145
2016-03-04T00:00:00,0.39,2.54,3.0,4.855
2016-03-05T00:00:00,0.39,2.404,3.0,4.589
2016-03-06T00:00:00,0.39,2.338,2.9,4.405
2016-03-07T00:00:00,0.39,2.397,2.9,4.451
2016-03-08T00:00:00,0.49,2.518,2.9,4.766
2016-03-09T00:00:00,0.75,2.721,3.0,5.227
2016-03-10T00:00:00,1.15,2.819,3.3,5.551
2016-03-11T00:00:00,1.4,2.792,3.3,5.601
2016-03-12T00:00:00,1.4,2.713,3.3,5.468
2016-03-13T00:00:00,1.15,2.619,3.3,5.259
2016-03-14T00:00:00,1.15,2.666,3.4,5.214
2016-03-15T00:00:00,1.15,2.885,3.9,5.506
2016-03-16T00:00:00,2.0,3.749,4.6,6.873
2016-03-17T00:00:00,2.3,4.156,8.8,8.177
2016-03-18T00:00:00,4.2,4.023,12.1,8.468
2016-03-19T00:00:00,2.7,3.741,9.4,8.007
2016-03-20T00:00:00,2.7,3.504,7.0,7.353
2016-03-21T00:00:00,2.3,3.332,5.6,6.797
2016-03-22T00:00:00,2.0,3.189,4.8,6.37
2016-03-23T00:00:00,0.75,3.051,3.9,6.018
2016-03-24T00:00:00,0.6,2.915,3.4,5.703
2016-03-25T00:00:00,0.75,2.915,3.3,5.591
2016-03-26T00:00:00,0.95,2.99,3.4,5.718
2016-03-27T00:00:00,2.0,3.192,9.2,6.169
2016-03-28T00:00:00,9.7,3.742,25.33,7.368
2016-03-29T00:00:00,14.8,4.365,27.5,8.858
2016-03-30T00:00:00,13.4,4.967,24.33,10.044
2016-03-31T00:00:00,9.7,4.87,21.33,10.207
2016-04-01T00:00:00,8.6,4.579,19.1,9.852
2016-04-02T00:00:00,8.6,4.13,18.5,9.258
2016-04-03T00:00:00,7.7,3.74,17.0,8.427
2016-04-04T00:00:00,6.8,3.407,15.3,7.476
2016-04-05T00:00:00,6.8,3.145,14.5,6.613
2016-04-06T00:00:00,6.8,3.221,15.0,6.381
2016-04-07T00:00:00,19.5,3.037,23.67,6.129
2016-04-08T00:00:00,16.3,2.777,25.0,5.595
2016-04-09T00:00:00,11.4,2.591,21.67,5.059
2016-04-10T00:00:00,9.7,2.443,18.2,4.656
2016-04-11T00:00:00,7.7,2.306,15.0,4.338
2016-04-12T00:00:00,6.1,2.174,12.6,4.057
2016-04-13T00:00:00,4.7,2.045,10.9,3.794
2016-04-14T00:00:00,4.7,1.922,9.6,3.542
2016-04-15T00:00:00,3.1,1.816,8.3,3.318
2016-04-16T00:00:00,3.1,1.721,7.4,3.121
2016-04-17T00:00:00,2.7,1.704,6.8,3.042
2016-04-18T00:00:00,2.7,1.663,7.2,2.994
2016-04-19T00:00:00,4.2,1.625,7.9,2.934
2016-04-20T00:00:00,5.7,1.567,7.9,2.843
2016-04-21T00:00:00,2.7,1.495,7.5,2.716
2016-04-22T00:00:00,2.3,1.433,7.0,2.608
2016-04-23T00:00:00,2.0,1.418,7.0,2.569
2016-04-24T00:00:00,2.0,1.893,7.0,3.292
2016-04-25T00:00:00,9.7,2.573,13.1,4.528
2016-04-26T00:00:00,10.8,5.736,18.2,9.932
2016-04-27T00:00:00,33.0,8.024,41.0,15.612
2016-04-28T00:00:00,24.0,7.887,36.5,17.484
2016-04-29T00:00:00,33.0,6.902,44.0,16.057
2016-04-30T00:00:00,21.0,6.002,34.0,13.567
2016-05-01T00:00:00,14.8,5.195,24.67,11.213
2016-05-02T00:00:00,9.7,4.428,18.2,9.208
2016-05-03T00:00:00,7.7,3.796,14.5,7.573
2016-05-04T00:00:00,5.3,3.258,11.4,6.301
2016-05-05T00:00:00,2.7,2.853,9.4,5.334
2016-05-06T00:00:00,2.7,2.568,7.9,4.637
2016-05-07T00:00:00,2.0,2.317,6.8,4.105
2016-05-08T00:00:00,2.0,2.049,5.9,3.624
