subid,municipality,area_fraction
1001,kärkölä,0.844660
1001,mäntsälä,0.155340
1002,hausjärvi,0.001947
1002,kärkölä,0.293039
1002,mäntsälä,0.705014
1003,hausjärvi,0.336764
1003,kärkölä,0.438588
1003,mäntsälä,0.224648
1004,hausjärvi,1.000000
1005,kärkölä,0.917734
1005,mäntsälä,0.082266
1006,mäntsälä,1.000000
1007,kärkölä,0.058001
1007,mäntsälä,0.941999
1008,kärkölä,0.363142
1008,mäntsälä,0.636858
1009,hausjärvi,0.019978
1009,mäntsälä,0.980022
1010,hausjärvi,0.052097
1010,mäntsälä,0.947903
1011,mäntsälä,1.000000
1012,kärkölä,0.777767
1012,mäntsälä,0.222233
1013,mäntsälä,1.000000
1014,mäntsälä,1.000000
1015,mäntsälä,1.000000
1016,hausjärvi,0.822738
1016,mäntsälä,0.177262
1017,hausjärvi,1.000000
1018,hausjärvi,0.993568
1018,hyvinkää,0.006432
1019,hausjärvi,0.079270
1019,mäntsälä,0.920730
1020,hausjärvi,0.560200
1020,hyvinkää,0.031638
1020,mäntsälä,0.408162
1021,hausjärvi,0.078647
1021,hyvinkää,0.016521
1021,mäntsälä,0.904833
1022,mäntsälä,1.000000
1023,mäntsälä,1.000000
1024,mäntsälä,1.000000
1025,mäntsälä,1.000000
1026,mäntsälä,0.998622
1026,pukkila,0.001378
1027,mäntsälä,1.000000
1028,mäntsälä,1.000000
1029,mäntsälä,1.000000
1030,mäntsälä,1.000000
1031,pornainen,1.000000
1032,mäntsälä,0.013397
1032,pornainen,0.957257
1032,porvoo,0.004973
1032,sipoo,0.024373
1033,pornainen,0.246220
1033,porvoo,0.174293
1033,sipoo,0.579487
1034,pornainen,0.559256
1034,porvoo,0.440744
1035,pornainen,0.045736
1035,porvoo,0.862318
1035,sipoo,0.091947
1036,porvoo,1.000000
1037,porvoo,1.000000
1038,porvoo,1.000000
1039,porvoo,0.777601
1039,sipoo,0.222399
1040,porvoo,1.000000
1041,hausjärvi,0.802156
1041,mäntsälä,0.197844
1042,mäntsälä,1.000000
1043,mäntsälä,1.000000
1044,pornainen,1.000000
1045,kärkölä,0.005519
1045,mäntsälä,0.994481
1046,mäntsälä,1.000000
1047,hausjärvi,1.000000
1048,pornainen,0.797177
1048,porvoo,0.202823
1049,mäntsälä,0.986130
1049,orimattila,0.013870
1050,mäntsälä,1.000000
