subid,municipality,area_fraction
1001,mynämäki,0.010028
1001,pöytyä,0.989972
1002,pöytyä,1.000000
1003,mynämäki,0.749682
1003,pöytyä,0.250318
1004,mynämäki,0.378069
1004,nousiainen,0.010716
1004,pöytyä,0.611214
1005,mynämäki,0.985838
1005,nousiainen,0.014162
1006,mynämäki,1.000000
1007,mynämäki,1.000000
1008,mynämäki,1.000000
1009,mynämäki,1.000000
1010,mynämäki,1.000000
1011,mynämäki,1.000000
1012,mynämäki,0.788607
1012,nousiainen,0.211393
1013,masku,0.622106
1013,mynämäki,0.222145
1013,nousiainen,0.155749
1014,mynämäki,1.000000
1015,mynämäki,1.000000
1016,masku,0.194771
1016,mynämäki,0.772270
1016,nousiainen,0.032960
1017,masku,0.295976
1017,mynämäki,0.704024
