subid,municipality,area_fraction
1001,koski tl,1.000000
1002,koski tl,0.557994
1002,somero,0.442006
1003,somero,0.369446
1003,tammela,0.630554
1004,somero,1.000000
1005,koski tl,0.315123
1005,somero,0.683908
1005,ypäjä,0.000969
1006,koski tl,0.992623
1006,loimaa,0.000003
1006,marttila,0.007374
1007,koski tl,0.423924
1007,marttila,0.576076
1008,somero,1.000000
1009,somero,0.902090
1009,tammela,0.097910
1010,somero,0.826129
1010,tammela,0.173871
1011,somero,0.441426
1011,tammela,0.558574
1012,somero,0.463854
1012,tammela,0.536146
1013,somero,0.998605
1013,tammela,0.001395
1014,somero,0.108129
1014,tammela,0.891871
1015,somero,1.000000
1016,somero,0.999240
1016,ypäjä,0.000760
1017,marttila,0.000336
1017,pöytyä,0.999664
1018,koski tl,0.006856
1018,loimaa,0.034222
1018,marttila,0.013586
1018,pöytyä,0.945336
1019,somero,1.000000
1020,koski tl,1.000000
1021,koski tl,1.000000
1022,somero,1.000000
1023,somero,1.000000
1024,somero,1.000000
1025,somero,1.000000
1026,koski tl,0.322348
1026,marttila,0.677652
1027,lieto,0.266322
1027,pöytyä,0.733678
1028,koski tl,1.000000
1029,marttila,1.000000
1030,koski tl,0.744871
1030,marttila,0.255129
1031,koski tl,0.093779
1031,marttila,0.906221
1032,marttila,1.000000
1033,marttila,1.000000
1034,koski tl,1.000000
1035,lieto,0.325894
1035,marttila,0.590351
1035,pöytyä,0.083755
1036,aura,0.039536
1036,lieto,0.445088
1036,pöytyä,0.515376
1037,lieto,0.740756
1037,marttila,0.007455
1037,pöytyä,0.251789
1038,koski tl,0.733615
1038,somero,0.266385
1039,koski tl,1.000000
1040,somero,1.000000
1041,koski tl,0.800468
1041,salo,0.074451
1041,somero,0.125081
1042,somero,1.000000
1043,somero,1.000000
1044,aura,0.013098
1044,lieto,0.986902
1045,lieto,1.000000
1046,lieto,1.000000
1047,marttila,1.000000
1048,marttila,1.000000
1049,koski tl,0.037718
1049,marttila,0.853721
1049,pöytyä,0.108561
1050,marttila,0.990458
1050,salo,0.009542
1051,marttila,1.000000
1052,marttila,0.972632
1052,salo,0.027368
1053,lieto,0.390341
1053,marttila,0.609659
1054,marttila,1.000000
1055,somero,1.000000
1056,somero,1.000000
1057,somero,1.000000
1058,lieto,0.694720
1058,paimio,0.305280
1059,lieto,0.138893
1059,marttila,0.340775
1059,paimio,0.467710
1059,salo,0.052621
1060,paimio,1.000000
1061,paimio,1.000000
1062,lieto,0.412142
1062,paimio,0.587858
1063,paimio,1.000000
1064,paimio,1.000000
1065,paimio,1.000000
1066,paimio,1.000000
1067,paimio,1.000000
1068,somero,0.000008
1068,tammela,0.999992
1069,tammela,1.000000
1070,somero,1.000000
1071,tammela,1.000000
1072,koski tl,0.572632
1072,somero,0.427368
1073,somero,1.000000
1074,somero,0.968059
1074,tammela,0.031941
1075,somero,0.999296
1075,tammela,0.000704
1076,marttila,1.000000
1077,paimio,1.000000
1078,somero,1.000000
1079,somero,0.600513
1079,tammela,0.399487
1080,somero,1.000000
1081,tammela,1.000000
1082,somero,1.000000
1083,somero,1.000000
