subid,municipality,area_fraction
1001,hollola,0.998759
1001,lahti,0.001241
1002,hollola,1.000000
1003,lahti,1.000000
1004,hollola,0.131944
1004,lahti,0.868056
1005,hollola,1.000000
1006,hollola,1.000000
1007,hollola,0.991841
1007,lahti,0.008159
1008,hollola,0.872636
1008,lahti,0.126081
1008,orimattila,0.001283
1009,lahti,0.384214
1009,orimattila,0.615786
1010,hollola,0.994835
1010,kärkölä,0.005165
1011,hollola,1.000000
1012,hollola,0.755040
1012,lahti,0.087992
1012,orimattila,0.156967
1013,hollola,0.473006
1013,orimattila,0.526994
1014,hollola,0.242360
1014,orimattila,0.757640
1015,orimattila,1.000000
1016,hollola,0.252936
1016,orimattila,0.747064
1017,hollola,0.303651
1017,orimattila,0.696349
1018,hollola,0.043923
1018,orimattila,0.956077
1019,lahti,0.613090
1019,orimattila,0.386910
1020,lahti,0.591844
1020,orimattila,0.408156
1021,orimattila,1.000000
1022,hollola,0.000014
1022,orimattila,0.999986
1023,orimattila,1.000000
1024,hollola,0.317807
1024,kärkölä,0.509219
1024,orimattila,0.172974
1025,hollola,0.437782
1025,kärkölä,0.562218
1026,kärkölä,0.415411
1026,mäntsälä,0.312012
1026,orimattila,0.272577
1027,hollola,0.030950
1027,kärkölä,0.623365
1027,orimattila,0.345685
1028,mäntsälä,0.068952
1028,orimattila,0.931048
1029,lahti,0.310367
1029,orimattila,0.689633
1030,orimattila,1.000000
1031,orimattila,1.000000
1032,orimattila,1.000000
1033,orimattila,1.000000
1034,mäntsälä,0.126029
1034,orimattila,0.873971
1035,orimattila,1.000000
1036,mäntsälä,0.617601
1036,orimattila,0.382399
1037,orimattila,1.000000
1038,orimattila,1.000000
1039,orimattila,1.000000
1040,orimattila,1.000000
1041,orimattila,1.000000
1042,orimattila,1.000000
1043,mäntsälä,0.127081
1043,orimattila,0.872919
1044,orimattila,0.771662
1044,pukkila,0.228338
1045,mäntsälä,0.392780
1045,orimattila,0.222864
1045,pukkila,0.384356
1046,mäntsälä,0.410753
1046,pukkila,0.589247
1047,pukkila,1.000000
1048,orimattila,0.502862
1048,pukkila,0.497138
1049,mäntsälä,0.251877
1049,pukkila,0.748123
1050,mäntsälä,0.806636
1050,pukkila,0.193364
1051,pukkila,1.000000
1052,askola,0.003830
1052,myrskylä,0.193497
1052,pukkila,0.802673
1053,askola,0.463400
1053,pukkila,0.536600
1054,askola,0.247280
1054,mäntsälä,0.093148
1054,pukkila,0.659572
1055,mäntsälä,1.000000
1056,askola,0.081483
1056,mäntsälä,0.871431
1056,pornainen,0.047085
1057,askola,0.961531
1057,mäntsälä,0.008157
1057,pukkila,0.030313
1058,askola,0.420341
1058,mäntsälä,0.550475
1058,pukkila,0.029184
1059,askola,1.000000
1060,askola,1.000000
1061,askola,1.000000
1062,askola,0.615311
1062,mäntsälä,0.017667
1062,pornainen,0.367022
1063,askola,0.841525
1063,porvoo,0.158475
1064,askola,0.015720
1064,pornainen,0.021529
1064,porvoo,0.962751
1065,askola,0.571623
1065,porvoo,0.428377
1066,porvoo,1.000000
1067,myrskylä,0.043658
1067,orimattila,0.060213
1067,pukkila,0.896129
1068,askola,0.188153
1068,pornainen,0.372361
1068,porvoo,0.439487
1069,mäntsälä,0.576768
1069,pornainen,0.423232
1070,hollola,1.000000
1071,hollola,1.000000
1072,mäntsälä,1.000000
1073,orimattila,1.000000
