Date,2000110,simulated_1014
2016-01-01T00:00:00,,0
2016-01-02T00:00:00,,0
2016-01-03T00:00:00,,0
2016-01-04T00:00:00,,0
2016-01-05T00:00:00,,0
2016-01-06T00:00:00,,0
2016-01-07T00:00:00,,0
2016-01-08T00:00:00,,0
2016-01-09T00:00:00,,0
2016-01-10T00:00:00,,0
2016-01-11T00:00:00,,0
2016-01-12T00:00:00,,0
2016-01-13T00:00:00,,0
2016-01-14T00:00:00,,0
2016-01-15T00:00:00,,0
2016-01-16T00:00:00,,0
2016-01-17T00:00:00,,0
2016-01-18T00:00:00,,0
2016-01-19T00:00:00,,0
2016-01-20T00:00:00,,0
2016-01-21T00:00:00,,0
2016-01-22T00:00:00,,0
2016-01-23T00:00:00,,0
2016-01-24T00:00:00,,0
2016-01-25T00:00:00,,0
2016-01-26T00:00:00,,0.081
2016-01-27T00:00:00,,0.145
2016-01-28T00:00:00,,0.175
2016-01-29T00:00:00,,0.196
2016-01-30T00:00:00,,0.236
2016-01-31T00:00:00,,0.25
2016-02-01T00:00:00,,0.249
2016-02-02T00:00:00,,0.271
2016-02-03T00:00:00,,0.28
2016-02-04T00:00:00,,0.279
2016-02-05T00:00:00,,0.275
2016-02-06T00:00:00,,0.271
2016-02-07T00:00:00,,0.291
2016-02-08T00:00:00,,0.33
2016-02-09T00:00:00,,0.445
2016-02-10T00:00:00,,0.733
2016-02-11T00:00:00,,0.899
2016-02-12T00:00:00,,0.967
2016-02-13T00:00:00,,0.987
2016-02-14T00:00:00,,1.014
2016-02-15T00:00:00,,0.988
2016-02-16T00:00:00,,0.933
2016-02-17T00:00:00,,0.873
2016-02-18T00:00:00,,0.816
2016-02-19T00:00:00,,0.772
2016-02-20T00:00:00,,0.777
2016-02-21T00:00:00,,0.806
2016-02-22T00:00:00,,0.793
2016-02-23T00:00:00,,0.751
2016-02-24T00:00:00,,0.703
2016-02-25T00:00:00,,0.661
2016-02-26T00:00:00,,0.63
2016-02-27T00:00:00,,0.603
2016-02-28T00:00:00,,0.578
2016-02-29T00:00:00,,0.555
2016-03-01T00:00:00,,0.532
2016-03-02T00:00:00,,0.511
2016-03-03T00:00:00,,0.49
2016-03-04T00:00:00,,0.47
2016-03-05T00:00:00,,0.452
2016-03-06T00:00:00,,0.439
