subid,municipality,area_fraction
1001,mäntsälä,0.135208
1001,sipoo,0.864792
1002,mäntsälä,0.196102
1002,pornainen,0.696917
1002,sipoo,0.106980
1003,pornainen,0.700829
1003,sipoo,0.299171
1004,sipoo,1.000000
1005,pornainen,0.086180
1005,sipoo,0.913820
1006,kerava,0.024106
1006,sipoo,0.975894
1007,pornainen,0.031769
1007,sipoo,0.968231
1008,sipoo,1.000000
1009,sipoo,1.000000
1010,kerava,0.083190
1010,sipoo,0.916810
1011,sipoo,1.000000
1012,sipoo,1.000000
1013,sipoo,1.000000
1014,sipoo,1.000000
1015,sipoo,1.000000
1016,sipoo,1.000000
1017,sipoo,1.000000
1018,kerava,0.035052
1018,sipoo,0.847319
1018,vantaa,0.117629
1019,helsinki,0.003913
1019,sipoo,0.996087
