Date,3200400,simulated_1019
2016-01-01T00:00:00,4.19,0
2016-01-02T00:00:00,5.09,0
2016-01-03T00:00:00,4.79,0
2016-01-04T00:00:00,3.35,0
2016-01-05T00:00:00,1.75,0
2016-01-06T00:00:00,0.91,0
2016-01-07T00:00:00,0.56,0
2016-01-08T00:00:00,0.48,0
2016-01-09T00:00:00,0.48,0
2016-01-10T00:00:00,0.45,0
2016-01-11T00:00:00,0.42,0
2016-01-12T00:00:00,0.39,0
2016-01-13T00:00:00,0.34,0
2016-01-14T00:00:00,0.34,0
2016-01-15T00:00:00,0.32,0
2016-01-16T00:00:00,0.32,0
2016-01-17T00:00:00,0.32,0
2016-01-18T00:00:00,0.32,0
2016-01-19T00:00:00,0.32,0
2016-01-20T00:00:00,0.31,0
2016-01-21T00:00:00,0.3,0
2016-01-22T00:00:00,0.29,0
2016-01-23T00:00:00,0.29,0
2016-01-24T00:00:00,0.29,0.148
2016-01-25T00:00:00,0.3,0.238
2016-01-26T00:00:00,0.55,1.139
2016-01-27T00:00:00,2.35,2.255
2016-01-28T00:00:00,8.22,2.506
2016-01-29T00:00:00,11.09,2.744
2016-01-30T00:00:00,17.35,3.084
2016-01-31T00:00:00,16.06,3.07
2016-02-01T00:00:00,10.01,2.891
2016-02-02T00:00:00,6.23,2.841
2016-02-03T00:00:00,5.24,2.802
2016-02-04T00:00:00,4.24,2.727
2016-02-05T00:00:00,3.27,2.638
2016-02-06T00:00:00,2.6,2.649
2016-02-07T00:00:00,6.21,2.756
2016-02-08T00:00:00,17.44,3.407
2016-02-09T00:00:00,25.28,3.84
2016-02-10T00:00:00,31.74,4.216
2016-02-11T00:00:00,32.53,4.187
2016-02-12T00:00:00,29.65,4.064
2016-02-13T00:00:00,20.68,3.956
2016-02-14T00:00:00,15.56,4.002
2016-02-15T00:00:00,11.71,3.954
2016-02-16T00:00:00,8.96,3.803
2016-02-17T00:00:00,9.02,3.659
2016-02-18T00:00:00,8.49,3.549
2016-02-19T00:00:00,6.81,3.475
2016-02-20T00:00:00,5.48,3.429
2016-02-21T00:00:00,4.74,3.483
2016-02-22T00:00:00,5.3,3.592
2016-02-23T00:00:00,4.48,3.592
2016-02-24T00:00:00,3.59,3.54
2016-02-25T00:00:00,3.67,3.451
2016-02-26T00:00:00,3.23,3.339
2016-02-27T00:00:00,2.51,3.226
2016-02-28T00:00:00,2.15,3.12
2016-02-29T00:00:00,1.91,3.022
2016-03-01T00:00:00,1.4,2.929
2016-03-02T00:00:00,1.27,2.84
2016-03-03T00:00:00,1.11,2.754
2016-03-04T00:00:00,1.06,2.67
2016-03-05T00:00:00,1.01,2.59
