subid,municipality,area_fraction
1001,laitila,1.000000
1002,laitila,1.000000
1003,eura,0.099353
1003,laitila,0.900647
1004,laitila,1.000000
1005,laitila,1.000000
1006,laitila,1.000000
1007,laitila,1.000000
1008,laitila,1.000000
1009,laitila,1.000000
1010,pyhäranta,0.220777
1010,uusikaupunki,0.779223
1011,laitila,1.000000
1012,laitila,0.992717
1012,uusikaupunki,0.007283
1013,laitila,1.000000
1014,laitila,0.026750
1014,uusikaupunki,0.973250
1015,laitila,1.000000
1016,uusikaupunki,1.000000
1017,laitila,0.168807
1017,uusikaupunki,0.831193
1018,laitila,0.971788
1018,uusikaupunki,0.028212
1019,laitila,0.162798
1019,uusikaupunki,0.837202
1020,laitila,0.331319
1020,uusikaupunki,0.668681
1021,laitila,0.003618
1021,pyhäranta,0.638469
1021,uusikaupunki,0.357913
1022,laitila,0.997507
1022,pyhäranta,0.002493
1023,laitila,1.000000
1024,laitila,0.676184
1024,pyhäranta,0.166524
1024,uusikaupunki,0.157292
1025,laitila,1.000000
1026,eura,0.037485
1026,laitila,0.962515
