Date,2200100,simulated_1001,2200310,simulated_1016
2016-01-01T00:00:00,,0,1.28,0
2016-01-02T00:00:00,,0,1.17,0
2016-01-03T00:00:00,,0,1.08,0
2016-01-04T00:00:00,,0,1.03,0
2016-01-05T00:00:00,,0,0.96,0
2016-01-06T00:00:00,,0,0.9,0
2016-01-07T00:00:00,,0,0.83,0
2016-01-08T00:00:00,,0,0.76,0
2016-01-09T00:00:00,,0,0.72,0
2016-01-10T00:00:00,,0,0.67,0
2016-01-11T00:00:00,,0,0.64,0
2016-01-12T00:00:00,,0,0.63,0
2016-01-13T00:00:00,,0,0.61,0
2016-01-14T00:00:00,,0,0.58,0
2016-01-15T00:00:00,,0,0.56,0
2016-01-16T00:00:00,,0,0.53,0
2016-01-17T00:00:00,,0,0.5,0
2016-01-18T00:00:00,,0,0.48,0
2016-01-19T00:00:00,,0,0.47,0
2016-01-20T00:00:00,,0,0.44,0
2016-01-21T00:00:00,,0,0.42,0
2016-01-22T00:00:00,,0,0.4,0
2016-01-23T00:00:00,,0,0.38,0
2016-01-24T00:00:00,,0,0.39,0.007
2016-01-25T00:00:00,,0.001,0.39,0.01
2016-01-26T00:00:00,,0.005,0.42,0.148
2016-01-27T00:00:00,,0.009,0.47,0.264
2016-01-28T00:00:00,,0.01,0.63,0.31
2016-01-29T00:00:00,,0.011,0.8,0.335
2016-01-30T00:00:00,,0.013,0.99,0.378
2016-01-31T00:00:00,,0.013,1.18,0.382
2016-02-01T00:00:00,,0.013,1.19,0.369
2016-02-02T00:00:00,,0.015,1.18,0.407
2016-02-03T00:00:00,,0.016,1.18,0.415
2016-02-04T00:00:00,,0.016,1.15,0.402
2016-02-05T00:00:00,,0.016,1.1,0.386
2016-02-06T00:00:00,,0.016,1.06,0.373
2016-02-07T00:00:00,,0.019,1.15,0.411
2016-02-08T00:00:00,,0.027,1.43,0.49
2016-02-09T00:00:00,,0.129,1.96,0.783
2016-02-10T00:00:00,,0.463,2.58,1.411
2016-02-11T00:00:00,,0.446,3.11,1.593
2016-02-12T00:00:00,,0.44,3.3,1.695
2016-02-13T00:00:00,,0.358,3.27,1.638
2016-02-14T00:00:00,,0.329,3.18,1.602
2016-02-15T00:00:00,,0.26,3.05,1.474
2016-02-16T00:00:00,,0.203,2.92,1.317
2016-02-17T00:00:00,,0.167,2.84,1.194
2016-02-18T00:00:00,,0.147,2.77,1.115
