subid,municipality,area_fraction
1001,vihti,1.000000
1002,vihti,1.000000
1003,lohja,0.462789
1003,siuntio,0.361075
1003,vihti,0.176136
1004,siuntio,0.900329
1004,vihti,0.099671
1005,lohja,0.950411
1005,siuntio,0.049589
1006,lohja,0.559024
1006,siuntio,0.440976
1007,siuntio,1.000000
1008,lohja,0.020901
1008,siuntio,0.979099
1009,siuntio,1.000000
1010,siuntio,1.000000
1011,inkoo,0.030490
1011,lohja,0.484648
1011,siuntio,0.484862
1012,siuntio,1.000000
1013,inkoo,0.563308
1013,siuntio,0.436692
1014,kirkkonummi,0.190352
1014,siuntio,0.809648
1015,siuntio,1.000000
1016,kirkkonummi,0.005389
1016,vihti,0.994611
1017,kirkkonummi,1.000000
1018,siuntio,1.000000
1019,kirkkonummi,0.335548
1019,siuntio,0.664452
1020,lohja,0.517846
1020,siuntio,0.482154
1021,inkoo,0.048630
1021,siuntio,0.951370
1022,siuntio,1.000000
1023,siuntio,1.000000
1024,vihti,1.000000
1025,siuntio,1.000000
1026,kirkkonummi,0.058019
1026,siuntio,0.864647
1026,vihti,0.077334
1027,kirkkonummi,0.000407
1027,siuntio,0.999593
1028,vihti,1.000000
1029,kirkkonummi,0.991475
1029,siuntio,0.008525
1030,siuntio,1.000000
1031,kirkkonummi,1.000000
1032,kirkkonummi,0.875781
1032,siuntio,0.000824
1032,vihti,0.123395
1033,siuntio,0.035533
1033,vihti,0.964467
1034,kirkkonummi,0.030251
1034,vihti,0.969749
