Date,1300101,simulated_1030
2016-01-01T00:00:00,,0
2016-01-02T00:00:00,,0
2016-01-03T00:00:00,,0
2016-01-04T00:00:00,,0
2016-01-05T00:00:00,,0
2016-01-06T00:00:00,,0
2016-01-07T00:00:00,,0
2016-01-08T00:00:00,,0
2016-01-09T00:00:00,,0
2016-01-10T00:00:00,,0
2016-01-11T00:00:00,,0
2016-01-12T00:00:00,,0
2016-01-13T00:00:00,,0
2016-01-14T00:00:00,,0
2016-01-15T00:00:00,,0
2016-01-16T00:00:00,,0
2016-01-17T00:00:00,,0
2016-01-18T00:00:00,,0
2016-01-19T00:00:00,,0
2016-01-20T00:00:00,,0
2016-01-21T00:00:00,,0
2016-01-22T00:00:00,,0
2016-01-23T00:00:00,,0
2016-01-24T00:00:00,,0
2016-01-25T00:00:00,,0
2016-01-26T00:00:00,,0.002
2016-01-27T00:00:00,,0.008
2016-01-28T00:00:00,,0.026
2016-01-29T00:00:00,,0.064
2016-01-30T00:00:00,,0.128
2016-01-31T00:00:00,,0.223
2016-02-01T00:00:00,,0.332
2016-02-02T00:00:00,,0.44
2016-02-03T00:00:00,,0.549
2016-02-04T00:00:00,,0.651
2016-02-05T00:00:00,,0.742
2016-02-06T00:00:00,,0.823
2016-02-07T00:00:00,,0.911
2016-02-08T00:00:00,,1.055
2016-02-09T00:00:00,,1.532
2016-02-10T00:00:00,,2.966
2016-02-11T00:00:00,,5.436
2016-02-12T00:00:00,,7.714
2016-02-13T00:00:00,,9.046
2016-02-14T00:00:00,,9.973
2016-02-15T00:00:00,,10.485
2016-02-16T00:00:00,,10.296
2016-02-17T00:00:00,,9.6
2016-02-18T00:00:00,,8.745
2016-02-19T00:00:00,,8.047
2016-02-20T00:00:00,,7.819
2016-02-21T00:00:00,,8.252
2016-02-22T00:00:00,,8.855
2016-02-23T00:00:00,,9.08
2016-02-24T00:00:00,,8.902
2016-02-25T00:00:00,,8.563
2016-02-26T00:00:00,,8.225
2016-02-27T00:00:00,,7.947
2016-02-28T00:00:00,,7.749
2016-02-29T00:00:00,,7.624
2016-03-01T00:00:00,,7.549
2016-03-02T00:00:00,,7.503
2016-03-03T00:00:00,,7.467
2016-03-04T00:00:00,,7.429
2016-03-05T00:00:00,,7.396
2016-03-06T00:00:00,,7.385
