subid,municipality,area_fraction
1001,kouvola,0.911609
1001,luumäki,0.088391
1002,kouvola,0.483729
1002,luumäki,0.516271
1003,kouvola,1.000000
1004,kouvola,1.000000
1005,kouvola,1.000000
1006,kouvola,1.000000
1007,kouvola,1.000000
1008,kouvola,1.000000
1009,kouvola,1.000000
1010,kouvola,1.000000
1011,hamina,0.013208
1011,kouvola,0.986792
1012,kouvola,1.000000
1013,kouvola,1.000000
1014,kouvola,1.000000
1015,kouvola,1.000000
1016,kouvola,1.000000
1017,kouvola,1.000000
1018,kouvola,1.000000
1019,kouvola,1.000000
1020,kouvola,1.000000
1021,hamina,0.553048
1021,kouvola,0.446952
1022,hamina,0.039780
1022,kouvola,0.960220
1023,hamina,0.896281
1023,kouvola,0.103719
1024,hamina,0.684048
1024,kouvola,0.315952
1025,hamina,0.796509
1025,kotka,0.203491
1026,hamina,1.000000
1027,kouvola,1.000000
1028,kouvola,1.000000
1029,hamina,0.087786
1029,kouvola,0.912214
1030,hamina,1.000000
1031,kouvola,0.749779
1031,luumäki,0.250221
1032,hamina,1.000000
1033,kouvola,1.000000
1034,kouvola,1.000000
1035,kouvola,1.000000
1036,kouvola,1.000000
