Date,1500600,simulated_1019
2016-01-01T00:00:00,,0
2016-01-02T00:00:00,,0
2016-01-03T00:00:00,,0
2016-01-04T00:00:00,,0
2016-01-05T00:00:00,,0
2016-01-06T00:00:00,,0
2016-01-07T00:00:00,,0
2016-01-08T00:00:00,,0
2016-01-09T00:00:00,,0
2016-01-10T00:00:00,,0
2016-01-11T00:00:00,,0
2016-01-12T00:00:00,,0
2016-01-13T00:00:00,,0
2016-01-14T00:00:00,,0
2016-01-15T00:00:00,,0
2016-01-16T00:00:00,,0
2016-01-17T00:00:00,,0
2016-01-18T00:00:00,,0
2016-01-19T00:00:00,,0
2016-01-20T00:00:00,,0
2016-01-21T00:00:00,,0
2016-01-22T00:00:00,,0
2016-01-23T00:00:00,,0
2016-01-24T00:00:00,,0
2016-01-25T00:00:00,,0
2016-01-26T00:00:00,,0.073
2016-01-27T00:00:00,,0.24
2016-01-28T00:00:00,,0.421
2016-01-29T00:00:00,,0.558
2016-01-30T00:00:00,,0.686
2016-01-31T00:00:00,,0.798
2016-02-01T00:00:00,,0.863
2016-02-02T00:00:00,,0.908
2016-02-03T00:00:00,,0.944
2016-02-04T00:00:00,,0.961
2016-02-05T00:00:00,,0.963
2016-02-06T00:00:00,,0.957
2016-02-07T00:00:00,,0.997
2016-02-08T00:00:00,,1.321
2016-02-09T00:00:00,,4.105
2016-02-10T00:00:00,,12.869
2016-02-11T00:00:00,,22.262
2016-02-12T00:00:00,,26.139
2016-02-13T00:00:00,,26.111
2016-02-14T00:00:00,,26.137
2016-02-15T00:00:00,,25.041
2016-02-16T00:00:00,,21.527
2016-02-17T00:00:00,,17.021
2016-02-18T00:00:00,,12.925
2016-02-19T00:00:00,,10.364
2016-02-20T00:00:00,,10.304
2016-02-21T00:00:00,,12.882
2016-02-22T00:00:00,,14.709
2016-02-23T00:00:00,,13.85
2016-02-24T00:00:00,,11.546
2016-02-25T00:00:00,,9.243
2016-02-26T00:00:00,,7.463
2016-02-27T00:00:00,,6.212
2016-02-28T00:00:00,,5.403
2016-02-29T00:00:00,,4.887
2016-03-01T00:00:00,,4.516
2016-03-02T00:00:00,,4.21
2016-03-03T00:00:00,,3.936
2016-03-04T00:00:00,,3.683
2016-03-05T00:00:00,,3.506
2016-03-06T00:00:00,,3.497
