subid,municipality,area_fraction
1001,iitti,0.530641
1001,kouvola,0.469359
1002,iitti,0.624252
1002,kouvola,0.375748
1003,iitti,0.968200
1003,kouvola,0.031800
1004,iitti,0.652583
1004,kouvola,0.347417
1005,iitti,1.000000
1006,iitti,0.775673
1006,orimattila,0.224327
1007,iitti,0.468108
1007,kouvola,0.531723
1007,lapinjärvi,0.000169
1008,iitti,0.634118
1008,lapinjärvi,0.365882
1009,kouvola,0.310896
1009,lapinjärvi,0.689104
1010,kouvola,0.601183
1010,lapinjärvi,0.398817
1011,lapinjärvi,1.000000
1012,lapinjärvi,0.899408
1012,orimattila,0.100592
1013,iitti,0.088774
1013,lapinjärvi,0.240922
1013,orimattila,0.670304
1014,lapinjärvi,1.000000
1015,lapinjärvi,0.587001
1015,orimattila,0.412999
1016,lapinjärvi,1.000000
1017,lapinjärvi,0.433574
1017,loviisa,0.566426
1018,lapinjärvi,1.000000
1019,lapinjärvi,0.674767
1019,loviisa,0.325233
1020,loviisa,1.000000
1021,iitti,0.931962
1021,kouvola,0.068038
1022,iitti,0.999915
1022,kouvola,0.000085
1023,kouvola,0.194601
1023,lapinjärvi,0.776796
1023,loviisa,0.028603
1024,lapinjärvi,0.110136
1024,loviisa,0.889864
1025,lapinjärvi,0.160011
1025,loviisa,0.839989
