subid,municipality,area_fraction
1001,lappeenranta,0.334605
1001,luumäki,0.665395
1002,lappeenranta,0.484638
1002,luumäki,0.515362
1003,luumäki,1.000000
1004,luumäki,1.000000
1005,luumäki,1.000000
1006,luumäki,1.000000
1007,luumäki,1.000000
1008,luumäki,1.000000
1009,lappeenranta,0.393963
1009,luumäki,0.576165
1009,miehikkälä,0.029872
1010,lappeenranta,0.683971
1010,miehikkälä,0.316029
1011,lappeenranta,1.000000
1012,miehikkälä,1.000000
1013,miehikkälä,1.000000
1014,miehikkälä,1.000000
1015,miehikkälä,0.782720
1015,virolahti,0.217280
1016,luumäki,1.000000
1017,lappeenranta,0.806195
1017,luumäki,0.193805
1018,lappeenranta,0.363716
1018,luumäki,0.636284
1019,lappeenranta,0.458823
1019,miehikkälä,0.541177
1020,lappeenranta,0.416946
1020,miehikkälä,0.583054
1021,lappeenranta,0.959421
1021,miehikkälä,0.040579
1022,miehikkälä,1.000000
1023,miehikkälä,1.000000
1024,miehikkälä,1.000000
1025,lappeenranta,0.058911
1025,miehikkälä,0.941089
1026,lappeenranta,0.058894
1026,miehikkälä,0.941106
1027,lappeenranta,0.472024
1027,miehikkälä,0.527976
1028,luumäki,1.000000
1029,luumäki,1.000000
1030,lappeenranta,0.910303
1030,luumäki,0.089697
1031,luumäki,1.000000
1032,lappeenranta,1.000000
1033,miehikkälä,1.000000
1034,lappeenranta,0.907214
1034,miehikkälä,0.092786
