Date,2500400,simulated_1027
2016-01-01T00:00:00,2.3,0
2016-01-02T00:00:00,1.7,0
2016-01-03T00:00:00,1.5,0
2016-01-04T00:00:00,1.4,0
2016-01-05T00:00:00,1.2,0
2016-01-06T00:00:00,0.9,0
2016-01-07T00:00:00,0.8,0
2016-01-08T00:00:00,0.65,0
2016-01-09T00:00:00,0.6,0
2016-01-10T00:00:00,0.6,0
2016-01-11T00:00:00,0.6,0
2016-01-12T00:00:00,0.65,0
2016-01-13T00:00:00,0.65,0
2016-01-14T00:00:00,0.65,0
2016-01-15T00:00:00,0.65,0
2016-01-16T00:00:00,0.65,0
2016-01-17T00:00:00,0.6,0
2016-01-18T00:00:00,0.6,0
2016-01-19T00:00:00,0.6,0
2016-01-20T00:00:00,0.6,0
2016-01-21T00:00:00,0.6,0
2016-01-22T00:00:00,0.5,0
2016-01-23T00:00:00,0.5,0
2016-01-24T00:00:00,0.6,0.007
2016-01-25T00:00:00,0.6,0.013
2016-01-26T00:00:00,0.85,0.157
2016-01-27T00:00:00,2.4,0.385
2016-01-28T00:00:00,13.8,0.589
2016-01-29T00:00:00,14.2,0.916
2016-01-30T00:00:00,27.0,1.396
2016-01-31T00:00:00,18.6,1.673
2016-02-01T00:00:00,6.0,1.732
2016-02-02T00:00:00,3.4,1.795
2016-02-03T00:00:00,2.6,1.813
2016-02-04T00:00:00,2.6,1.772
2016-02-05T00:00:00,2.2,1.713
2016-02-06T00:00:00,1.8,1.654
2016-02-07T00:00:00,6.3,1.932
2016-02-08T00:00:00,41.0,4.344
2016-02-09T00:00:00,75.0,11.759
2016-02-10T00:00:00,62.0,20.983
2016-02-11T00:00:00,46.0,25.245
2016-02-12T00:00:00,25.0,24.666
2016-02-13T00:00:00,14.8,21.169
2016-02-14T00:00:00,10.0,16.963
2016-02-15T00:00:00,7.4,13.193
2016-02-16T00:00:00,4.9,10.288
2016-02-17T00:00:00,4.9,8.242
2016-02-18T00:00:00,3.7,6.886
2016-02-19T00:00:00,3.6,6.103
2016-02-20T00:00:00,3.4,5.763
2016-02-21T00:00:00,3.2,5.925
2016-02-22T00:00:00,3.4,5.856
2016-02-23T00:00:00,3.2,5.485
2016-02-24T00:00:00,2.8,5.056
2016-02-25T00:00:00,2.6,4.676
2016-02-26T00:00:00,2.6,4.362
2016-02-27T00:00:00,2.0,4.089
2016-02-28T00:00:00,2.0,3.838
2016-02-29T00:00:00,1.8,3.603
2016-03-01T00:00:00,1.7,3.383
2016-03-02T00:00:00,1.6,3.177
2016-03-03T00:00:00,1.6,2.985
2016-03-04T00:00:00,1.5,2.805
2016-03-05T00:00:00,1.5,2.649
2016-03-06T00:00:00,1.5,2.524
2016-03-07T00:00:00,1.5,2.559
2016-03-08T00:00:00,1.6,2.641
2016-03-09T00:00:00,1.7,2.64
2016-03-10T00:00:00,1.9,2.556
2016-03-11T00:00:00,1.9,2.434
2016-03-12T00:00:00,1.8,2.304
2016-03-13T00:00:00,1.8,2.176
2016-03-14T00:00:00,1.9,2.213
2016-03-15T00:00:00,2.7,2.278
2016-03-16T00:00:00,6.3,2.747
