subid,municipality,area_fraction
1001,somero,1.000000
1002,koski tl,0.013397
1002,salo,0.085889
1002,somero,0.900715
1003,somero,1.000000
1004,salo,0.163698
1004,somero,0.836302
1005,salo,0.649520
1005,somero,0.350480
1006,salo,0.064665
1006,somero,0.935335
1007,salo,0.008627
1007,somero,0.991373
1008,salo,1.000000
1009,salo,1.000000
1010,salo,0.717732
1010,somero,0.282268
1011,salo,0.665504
1011,somero,0.334496
1012,somero,1.000000
1013,salo,0.219056
1013,somero,0.780944
1014,somero,1.000000
1015,somero,1.000000
1016,salo,1.000000
1017,salo,0.600955
1017,somero,0.399045
1018,salo,1.000000
1019,salo,1.000000
1020,salo,1.000000
1021,salo,1.000000
1022,salo,1.000000
1023,salo,1.000000
1024,salo,0.923763
1024,somero,0.076237
1025,salo,1.000000
1026,salo,1.000000
1027,salo,1.000000
1028,salo,1.000000
1029,salo,1.000000
1030,salo,0.018918
1030,somero,0.981082
