subid,municipality,area_fraction
1001,luumäki,0.962347
1001,miehikkälä,0.037653
1002,lappeenranta,0.009171
1002,luumäki,0.215397
1002,miehikkälä,0.775431
1003,luumäki,0.038864
1003,miehikkälä,0.961136
1004,lappeenranta,0.010733
1004,miehikkälä,0.989267
1005,miehikkälä,1.000000
1006,miehikkälä,1.000000
1007,miehikkälä,1.000000
1008,miehikkälä,0.346611
1008,virolahti,0.653389
1009,virolahti,1.000000
1010,virolahti,1.000000
1011,luumäki,0.009489
1011,miehikkälä,0.990511
1012,miehikkälä,1.000000
1013,luumäki,1.000000
1014,miehikkälä,0.579343
1014,virolahti,0.420657
