Date,2104900,simulated_1062,2101500,simulated_1039,2101310,simulated_1063,2101220,simulated_1071,2101520,simulated_1066,2101700,simulated_1073
2016-01-01T00:00:00,,0,,0,0.74,0,7.03,0,1.97,0,9.82,0
2016-01-02T00:00:00,,0,,0,0.71,0,6.14,0,1.88,0,8.75,0
2016-01-03T00:00:00,,0,,0,0.7,0,5.61,0,1.73,0,8.01,0
2016-01-04T00:00:00,,0,,0,0.68,0,5.05,0,1.67,0,7.33,0
2016-01-05T00:00:00,,0,,0,0.66,0,4.76,0,1.59,0,6.93,0
2016-01-06T00:00:00,,0,,0,0.63,0,4.42,0,1.39,0,6.34,0
2016-01-07T00:00:00,,0,,0,0.6,0,4.22,0,1.29,0,6.01,0
2016-01-08T00:00:00,,0,,0,0.58,0,3.9,0,1.2,0,5.56,0
2016-01-09T00:00:00,,0,,0,0.57,0,3.61,0,1.08,0,5.12,0
2016-01-10T00:00:00,,0,,0,0.55,0,3.53,0,0.88,0,4.81,0
2016-01-11T00:00:00,,0,,0,0.5,0,3.3,0,0.84,0,4.52,0
2016-01-12T00:00:00,,0,,0,0.44,0,3.25,0,0.79,0,4.41,0
2016-01-13T00:00:00,,0,,0,0.43,0,3.13,0,0.75,0,4.23,0
2016-01-14T00:00:00,,0,,0,0.42,0,3.1,0,0.71,0,4.16,0
2016-01-15T00:00:00,,0,,0,0.41,0,3.06,0,0.68,0,4.08,0
2016-01-16T00:00:00,,0,,0,0.4,0,3.06,0,0.65,0,4.05,0
2016-01-17T00:00:00,,0,,0,0.38,0,3.03,0,0.62,0,3.98,0
2016-01-18T00:00:00,,0,,0,0.38,0,2.99,0,0.6,0,3.92,0
2016-01-19T00:00:00,,0,,0,0.37,0,2.94,0,0.57,0,3.83,0
2016-01-20T00:00:00,,0,,0,0.36,0,2.9,0,0.56,0,3.77,0
2016-01-21T00:00:00,,0,,0,0.35,0,2.9,0,0.55,0,3.76,0
2016-01-22T00:00:00,,0,,0,0.33,0,2.9,0,0.55,0,3.76,0
2016-01-23T00:00:00,,0,,0,0.33,0,2.94,0,0.55,0,3.81,0
2016-01-24T00:00:00,,0.008,,0.004,0.33,0.001,3.01,0.007,0.56,0,3.89,0.006
2016-01-25T00:00:00,,0.015,,0.012,0.33,0.003,3.06,0.02,0.59,0.001,3.98,0.019
2016-01-26T00:00:00,,0.212,,0.435,0.35,0.044,3.25,0.418,0.65,0.092,4.25,0.475
2016-01-27T00:00:00,,0.469,,1.377,0.72,0.1,3.72,1.395,0.76,0.403,4.89,1.664
2016-01-28T00:00:00,,0.63,,1.991,1.02,0.139,8.61,2.527,2.0,0.774,11.52,3.146
2016-01-29T00:00:00,,0.714,,2.109,1.22,0.164,16.28,3.325,3.7,0.964,21.82,4.24
2016-01-30T00:00:00,,0.808,,2.535,1.46,0.202,19.78,3.96,5.3,1.169,27.3,5.138
2016-01-31T00:00:00,,0.857,,2.628,1.48,0.23,23.79,4.442,5.6,1.292,32.13,5.805
2016-02-01T00:00:00,,0.855,,2.247,1.44,0.238,18.34,4.536,4.2,1.113,24.33,5.867
2016-02-02T00:00:00,,0.905,,2.039,1.39,0.294,12.98,4.518,2.9,0.904,16.8,5.696
2016-02-03T00:00:00,,0.939,,2.005,1.34,0.337,10.31,4.532,2.3,0.818,13.79,5.593
2016-02-04T00:00:00,,0.928,,1.97,1.27,0.341,9.16,4.503,1.55,0.756,11.82,5.494
2016-02-05T00:00:00,,0.899,,1.913,1.09,0.331,8.47,4.41,1.2,0.688,10.62,5.337
2016-02-06T00:00:00,,0.871,,1.858,0.87,0.323,7.59,4.288,1.2,0.632,9.56,5.155
2016-02-07T00:00:00,,0.951,,2.184,0.86,0.376,8.06,4.51,1.55,0.758,10.46,5.438
2016-02-08T00:00:00,,1.19,,3.103,1.04,0.522,15.38,5.54,2.9,1.217,20.05,6.831
2016-02-09T00:00:00,,2.615,,6.093,2.04,2.215,34.91,12.157,8.2,3.356,47.52,16.089
2016-02-10T00:00:00,,6.454,,12.242,3.25,6.878,60.41,31.28,21.5,8.878,89.37,42.653
2016-02-11T00:00:00,,8.715,,16.675,4.17,9.734,78.67,50.519,29.0,13.708,117.24,68.499
