subid,municipality,area_fraction
1001,hausjärvi,1.000000
1002,hausjärvi,0.474301
1002,riihimäki,0.525699
1003,janakkala,0.020260
1003,loppi,0.133769
1003,riihimäki,0.845972
1004,hausjärvi,1.000000
1005,hausjärvi,0.803099
1005,riihimäki,0.196901
1006,loppi,1.000000
1007,riihimäki,1.000000
1008,hausjärvi,0.509959
1008,hyvinkää,0.446630
1008,riihimäki,0.043411
1009,hausjärvi,0.702321
1009,hyvinkää,0.297679
1010,hyvinkää,1.000000
1011,hausjärvi,0.041177
1011,hyvinkää,0.958823
1012,hyvinkää,0.562863
1012,riihimäki,0.437137
1013,hyvinkää,0.209090
1013,riihimäki,0.790910
1014,hyvinkää,1.000000
1015,hyvinkää,0.476637
1015,loppi,0.523363
1016,hyvinkää,1.000000
1017,hyvinkää,1.000000
1018,hyvinkää,0.999631
1018,nurmijärvi,0.000369
1019,hyvinkää,0.795890
1019,nurmijärvi,0.204110
1020,hyvinkää,0.901951
1020,nurmijärvi,0.098049
1021,loppi,1.000000
1022,loppi,0.428411
1022,vihti,0.571589
1023,mäntsälä,1.000000
1024,hyvinkää,0.018495
1024,mäntsälä,0.981505
1025,järvenpää,0.008233
1025,mäntsälä,0.949130
1025,pornainen,0.025301
1025,sipoo,0.011209
1025,tuusula,0.006127
1026,hyvinkää,0.349439
1026,järvenpää,0.056083
1026,mäntsälä,0.157318
1026,tuusula,0.437160
1027,hyvinkää,0.235030
1027,nurmijärvi,0.764970
1028,hyvinkää,0.082578
1028,nurmijärvi,0.917422
1029,nurmijärvi,1.000000
1030,nurmijärvi,1.000000
1031,tuusula,1.000000
1032,järvenpää,0.128326
1032,tuusula,0.871674
1033,nurmijärvi,1.000000
1034,hausjärvi,0.000093
1034,hyvinkää,0.482378
1034,nurmijärvi,0.132387
1034,tuusula,0.385141
1035,nurmijärvi,1.000000
1036,nurmijärvi,1.000000
1037,tuusula,1.000000
1038,nurmijärvi,0.993478
1038,vihti,0.006522
1039,hyvinkää,0.348703
1039,nurmijärvi,0.597485
1039,tuusula,0.053812
1040,nurmijärvi,1.000000
1041,nurmijärvi,0.208011
1041,vihti,0.791989
1042,nurmijärvi,1.000000
1043,nurmijärvi,0.417055
1043,tuusula,0.582945
1044,nurmijärvi,1.000000
1045,nurmijärvi,0.872200
1045,vantaa,0.127800
1046,kerava,0.027704
1046,tuusula,0.972296
1047,nurmijärvi,1.000000
1048,nurmijärvi,0.984078
1048,vihti,0.015922
1049,nurmijärvi,1.000000
1050,nurmijärvi,0.247610
1050,tuusula,0.602144
1050,vantaa,0.150246
1051,tuusula,0.998766
1051,vantaa,0.001234
1052,vihti,1.000000
1053,nurmijärvi,0.997277
1053,vihti,0.002723
1054,espoo,0.128752
1054,nurmijärvi,0.208816
1054,vihti,0.662432
1055,nurmijärvi,1.000000
1056,kerava,0.557798
1056,tuusula,0.344529
1056,vantaa,0.097673
1057,kerava,0.007896
1057,tuusula,0.606677
1057,vantaa,0.385426
1058,nurmijärvi,0.888551
1058,vantaa,0.111449
1059,nurmijärvi,0.015022
1059,tuusula,0.064961
1059,vantaa,0.920017
1060,vantaa,1.000000
1061,vantaa,1.000000
1062,espoo,0.387133
1062,nurmijärvi,0.353267
1062,vantaa,0.259600
1063,tuusula,0.879637
1063,vantaa,0.120363
1064,espoo,1.000000
1065,espoo,1.000000
1066,järvenpää,0.176352
1066,kerava,0.303252
1066,sipoo,0.183708
1066,tuusula,0.081352
1066,vantaa,0.255336
1067,vantaa,1.000000
1068,tuusula,0.271101
1068,vantaa,0.728899
1069,helsinki,0.332829
1069,vantaa,0.667171
1070,helsinki,0.561666
1070,vantaa,0.438334
1071,helsinki,0.198557
1071,tuusula,0.001577
1071,vantaa,0.799866
1072,helsinki,1.000000
1073,helsinki,0.999986
1073,vantaa,0.000014
1074,helsinki,1.000000
1075,hausjärvi,0.167310
1075,riihimäki,0.832690
1076,loppi,0.378120
1076,riihimäki,0.621880
1077,hyvinkää,0.396768
1077,riihimäki,0.603232
1078,hausjärvi,0.060771
1078,hyvinkää,0.939229
1079,hyvinkää,1.000000
1080,hyvinkää,0.112484
1080,karkkila,0.009340
1080,loppi,0.878176
1081,loppi,1.000000
1082,loppi,1.000000
1083,hyvinkää,0.682962
1083,loppi,0.141672
1083,vihti,0.175366
1084,vihti,1.000000
1085,espoo,0.956345
1085,nurmijärvi,0.043655
1086,espoo,0.779208
1086,nurmijärvi,0.220792
1087,espoo,0.650347
1087,nurmijärvi,0.349653
1088,espoo,1.000000
1089,hausjärvi,1.000000
1090,hyvinkää,1.000000
1091,vihti,1.000000
1092,espoo,0.399275
1092,vihti,0.600725
1093,hyvinkää,0.432674
1093,loppi,0.180057
1093,riihimäki,0.387270
1094,hausjärvi,0.224844
1094,hyvinkää,0.578271
1094,mäntsälä,0.196885
1095,hyvinkää,0.314124
1095,mäntsälä,0.685876
1096,hyvinkää,1.000000
1097,hyvinkää,0.645263
1097,riihimäki,0.354737
1098,nurmijärvi,1.000000
1099,järvenpää,0.570763
1099,kerava,0.010211
1099,tuusula,0.419026
1100,riihimäki,1.000000
1101,loppi,1.000000
1102,tuusula,1.000000
1103,espoo,1.000000
