subid,municipality,area_fraction
1001,hamina,0.261859
1001,kouvola,0.738141
1002,hamina,0.646854
1002,kouvola,0.353146
1003,hamina,0.432112
1003,kouvola,0.567888
1004,hamina,1.000000
1005,hamina,1.000000
1006,hamina,1.000000
1007,hamina,1.000000
1008,hamina,1.000000
1009,hamina,1.000000
1010,hamina,1.000000
1011,hamina,1.000000
1012,hamina,1.000000
1013,hamina,1.000000
1014,hamina,0.998640
1014,virolahti,0.001360
1015,hamina,1.000000
1016,hamina,1.000000
1017,hamina,0.973015
1017,virolahti,0.026985
1018,hamina,0.568252
1018,kouvola,0.431748
1019,hamina,1.000000
1020,hamina,1.000000
1021,hamina,0.997773
1021,kouvola,0.002227
1022,hamina,1.000000
1023,hamina,1.000000
1024,hamina,1.000000
1025,hamina,1.000000
1026,hamina,1.000000
1027,hamina,0.087440
1027,kouvola,0.912560
1028,hamina,1.000000
1029,hamina,1.000000
1030,hamina,1.000000
1031,hamina,1.000000
1032,hamina,1.000000
1033,hamina,1.000000
1034,hamina,1.000000
1035,hamina,0.990066
1035,kouvola,0.009934
1036,hamina,1.000000
1037,hamina,0.998404
1037,kouvola,0.001596
