Date,1100500,simulated_1030
2016-01-01T00:00:00,2.15,0
2016-01-02T00:00:00,1.9,0
2016-01-03T00:00:00,1.64,0
2016-01-04T00:00:00,1.4,0
2016-01-05T00:00:00,1.23,0
2016-01-06T00:00:00,1.09,0
2016-01-07T00:00:00,0.99,0
2016-01-08T00:00:00,0.86,0
2016-01-09T00:00:00,0.8,0
2016-01-10T00:00:00,0.72,0
2016-01-11T00:00:00,0.67,0
2016-01-12T00:00:00,0.6,0
2016-01-13T00:00:00,0.56,0
2016-01-14T00:00:00,0.53,0
2016-01-15T00:00:00,0.5,0
2016-01-16T00:00:00,0.48,0
2016-01-17T00:00:00,0.45,0
2016-01-18T00:00:00,0.41,0
2016-01-19T00:00:00,0.38,0
2016-01-20T00:00:00,0.37,0
2016-01-21T00:00:00,0.36,0
2016-01-22T00:00:00,0.36,0
2016-01-23T00:00:00,0.36,0
2016-01-24T00:00:00,0.37,0
2016-01-25T00:00:00,0.37,0
2016-01-26T00:00:00,0.38,0.153
2016-01-27T00:00:00,0.39,0.503
2016-01-28T00:00:00,0.39,0.755
2016-01-29T00:00:00,0.41,0.888
2016-01-30T00:00:00,0.43,1.082
2016-01-31T00:00:00,0.48,1.208
2016-02-01T00:00:00,0.72,1.245
2016-02-02T00:00:00,0.99,1.34
2016-02-03T00:00:00,1.15,1.405
2016-02-04T00:00:00,1.16,1.435
2016-02-05T00:00:00,1.24,1.458
2016-02-06T00:00:00,1.34,1.485
2016-02-07T00:00:00,1.44,1.6
2016-02-08T00:00:00,2.31,1.776
2016-02-09T00:00:00,4.24,2.135
2016-02-10T00:00:00,11.0,2.643
2016-02-11T00:00:00,20.5,3.068
2016-02-12T00:00:00,31.5,3.408
2016-02-13T00:00:00,33.5,3.725
2016-02-14T00:00:00,32.86,4.219
2016-02-15T00:00:00,31.0,4.557
2016-02-16T00:00:00,26.4,4.716
2016-02-17T00:00:00,23.0,4.827
2016-02-18T00:00:00,19.9,4.935
2016-02-19T00:00:00,18.1,5.105
2016-02-20T00:00:00,17.1,5.3
2016-02-21T00:00:00,16.2,5.509
2016-02-22T00:00:00,15.7,5.653
2016-02-23T00:00:00,15.1,5.729
2016-02-24T00:00:00,13.8,5.763
2016-02-25T00:00:00,12.9,5.778
2016-02-26T00:00:00,12.4,5.776
2016-02-27T00:00:00,,5.744
2016-02-28T00:00:00,,5.687
2016-02-29T00:00:00,11.4,5.606
2016-03-01T00:00:00,9.9,5.505
2016-03-02T00:00:00,9.9,5.391
2016-03-03T00:00:00,9.6,5.266
2016-03-04T00:00:00,8.7,5.135
2016-03-05T00:00:00,8.2,5.058
2016-03-06T00:00:00,8.2,5.023
2016-03-07T00:00:00,7.9,5.032
2016-03-08T00:00:00,8.7,5.237
2016-03-09T00:00:00,7.8,5.375
2016-03-10T00:00:00,8.1,5.385
2016-03-11T00:00:00,9.1,5.337
2016-03-12T00:00:00,8.7,5.266
2016-03-13T00:00:00,8.4,5.181
2016-03-14T00:00:00,7.6,5.104
2016-03-15T00:00:00,8.2,5.027
2016-03-16T00:00:00,6.9,5.1
2016-03-17T00:00:00,6.9,5.234
2016-03-18T00:00:00,8.7,5.264
2016-03-19T00:00:00,8.5,5.221
2016-03-20T00:00:00,8.1,5.154
2016-03-21T00:00:00,7.9,5.077
2016-03-22T00:00:00,6.1,4.994
2016-03-23T00:00:00,5.3,4.901
2016-03-24T00:00:00,6.7,4.8
2016-03-25T00:00:00,5.2,4.709
2016-03-26T00:00:00,4.6,4.664
2016-03-27T00:00:00,5.2,4.681
2016-03-28T00:00:00,5.6,4.73
2016-03-29T00:00:00,7.5,4.744
2016-03-30T00:00:00,8.1,4.787
2016-03-31T00:00:00,8.2,4.796
2016-04-01T00:00:00,10.6,4.832
2016-04-02T00:00:00,12.0,4.894
