subid,municipality,area_fraction
1001,hamina,0.222919
1001,kouvola,0.002136
1001,luumäki,0.640257
1001,miehikkälä,0.134688
1002,luumäki,1.000000
1003,luumäki,1.000000
1004,luumäki,1.000000
1005,hamina,0.027956
1005,luumäki,0.650069
1005,miehikkälä,0.321975
1006,hamina,0.788519
1006,miehikkälä,0.211481
1007,hamina,0.161996
1007,miehikkälä,0.838004
1008,miehikkälä,1.000000
1009,hamina,0.257926
1009,miehikkälä,0.742074
1010,miehikkälä,1.000000
1011,miehikkälä,1.000000
1012,miehikkälä,1.000000
1013,hamina,0.944746
1013,miehikkälä,0.055254
1014,hamina,1.000000
1015,hamina,0.936118
1015,miehikkälä,0.063882
1016,miehikkälä,0.873283
1016,virolahti,0.126717
1017,hamina,0.106896
1017,miehikkälä,0.893104
1018,miehikkälä,1.000000
1019,miehikkälä,0.199438
1019,virolahti,0.800562
1020,miehikkälä,0.226318
1020,virolahti,0.773682
1021,virolahti,1.000000
1022,virolahti,1.000000
1023,virolahti,1.000000
1024,luumäki,1.000000
1025,hamina,0.020243
1025,luumäki,0.014921
1025,miehikkälä,0.964836
1026,luumäki,0.266979
1026,miehikkälä,0.733021
1027,miehikkälä,1.000000
1028,miehikkälä,1.000000
1029,miehikkälä,0.652706
1029,virolahti,0.347294
1030,virolahti,1.000000
1031,hamina,1.000000
1032,miehikkälä,0.975762
1032,virolahti,0.024238
1033,kouvola,0.095267
1033,luumäki,0.904733
1034,luumäki,0.916451
1034,miehikkälä,0.083549
1035,hamina,0.849565
1035,kouvola,0.126737
1035,luumäki,0.007265
1035,miehikkälä,0.016433
1036,miehikkälä,1.000000
1037,miehikkälä,1.000000
