"catchment","station_id","subcatchment_id","period","n_obs","NSE","logNSE","KGE","R2","PBIAS","RMSE"
"Aurajoki","2800300","1026","calibration",1080,0.672,0.477,0.488,0.694,-26.75,2.7667
"Aurajoki","2800300","1026","validation",365,0.69,0.531,0.595,0.749,-0.77,3.511
"Hounijoki","0601000","1024","calibration",1096,0.349,-0.73,0.518,0.421,24.48,1.3525
"Hounijoki","0605800","1015","calibration",1074,0.419,0.407,0.341,0.473,-8.45,1.209
"Hounijoki","0601000","1024","validation",365,0.277,0.538,0.517,0.319,4.21,1.3398
"Hounijoki","0605800","1015","validation",336,0.402,0.275,0.344,0.444,-13.06,1.0617
"Ilolanjoki","1700500","1021","calibration",1030,0.633,0.023,0.428,0.67,-30.52,1.9504
"Ilolanjoki","1700500","1021","validation",360,0.649,0.348,0.551,0.667,-17.87,2.0879
"Karjaanjoki","2300100","1063","calibration",1059,-0.673,-1.093,0.272,0.645,52.46,5.0067
"Karjaanjoki","2300240","1071","calibration",1096,0.509,0.472,0.601,0.81,37.34,3.8965
"Karjaanjoki","2300340","1025","calibration",1064,-0.234,0.283,0.397,0.355,-42.77,0.242
"Karjaanjoki","2300402","1054","calibration",1075,0.712,0.711,0.658,0.749,1.92,1.4131
"Karjaanjoki","2300560","1083","calibration",1096,0.463,0.543,0.68,0.714,-5,3.9108
"Karjaanjoki","2300935","1132","calibration",1096,0.454,0.527,0.573,0.629,16.62,9.747
"Karjaanjoki","2300100","1063","validation",360,0.006,0.399,0.459,0.422,41.09,4.1538
"Karjaanjoki","2300240","1071","validation",356,0.241,0.564,0.542,0.633,38.7,4.4145
"Karjaanjoki","2300340","1025","validation",356,0.538,0.612,0.682,0.567,-8.93,0.1676
"Karjaanjoki","2300402","1054","validation",355,0.223,0.602,0.369,0.239,7.02,2.1604
"Karjaanjoki","2300560","1083","validation",365,-0.593,0.292,0.423,0.227,-11.89,5.4535
"Karjaanjoki","2300935","1132","validation",365,0.047,0.155,0.493,0.248,7.21,12.1877
"Koskenkylanjoki","1600110","1023","calibration",1091,0.689,0.802,0.642,0.776,11.25,2.6144
"Koskenkylanjoki","1601100","1046","calibration",1096,0.666,0.796,0.654,0.794,20.64,5.7244
"Koskenkylanjoki","1600110","1023","validation",365,0.356,0.529,0.573,0.51,28.96,2.8194
"Koskenkylanjoki","1601100","1046","validation",365,0.601,0.747,0.659,0.797,27.33,5.3944
"Mustijoki","1900100","1035","calibration",1096,0.688,0.801,0.661,0.78,18.09,5.4978
"Mustijoki","1900400","1028","calibration",1071,0.605,0.545,0.478,0.68,-7.66,3.5585
"Mustijoki","1900100","1035","validation",365,0.504,0.757,0.628,0.506,1.89,5.9812
"Mustijoki","1900400","1028","validation",365,0.311,0.334,0.291,0.368,-36.12,3.7439
"Porvoonjoki","1800500","1065","calibration",1096,0.804,0.768,0.773,0.868,20.64,6.261
"Porvoonjoki","1800500","1065","validation",365,0.57,0.656,0.745,0.597,11.47,8.204
"Sipoonjoki","2000110","1014","calibration",2,NA,NA,NA,NA,NA,NA
"Sipoonjoki","2000110","1014","validation",0,NA,NA,NA,NA,NA,NA
"Sirppujoki","3200400","1019","calibration",1082,0.333,0.677,0.371,0.566,35.21,3.7792
"Sirppujoki","3200400","1019","validation",365,0.252,0.578,0.323,0.474,38.19,5.2309
"Siuntionjoki","2200100","1001","calibration",1096,0.539,0.656,0.666,0.789,30.92,0.3473
"Siuntionjoki","2200310","1016","calibration",1096,0.765,0.697,0.811,0.774,6.37,0.4779
"Siuntionjoki","2200100","1001","validation",365,-0.211,0.434,0.319,0.266,47.13,0.7612
"Siuntionjoki","2200310","1016","validation",365,0.344,0.661,0.652,0.432,6.28,0.787
"Summajoki","1300101","1030","calibration",1066,0.559,0.624,0.618,0.805,32.95,3.8609
"Summajoki","1300101","1030","validation",337,0.474,0.525,0.577,0.8,38.85,5.1448
"Taasianjoki","1500600","1019","calibration",1096,0.661,0.627,0.688,0.703,17.32,4.8793
"Taasianjoki","1500600","1019","validation",365,0.464,0.348,0.524,0.612,42.36,6.9572
"Uskelanjoki","2500400","1027","calibration",963,0.564,0.459,0.543,0.597,2.16,6.0577
"Uskelanjoki","2500400","1027","validation",312,0.477,0.523,0.521,0.499,10.21,7.0727
"Vantaanjoki","2101220","1071","calibration",1096,0.867,0.842,0.851,0.889,13.77,5.8786
"Vantaanjoki","2101310","1063","calibration",1096,-0.193,0.243,0.459,0.591,-11.54,1.1205
"Vantaanjoki","2101500","1039","calibration",1082,0.754,0.818,0.829,0.765,10.37,2.9014
"Vantaanjoki","2101520","1066","calibration",1096,0.804,0.797,0.827,0.825,13.7,1.7859
"Vantaanjoki","2101700","1073","calibration",1096,0.854,0.831,0.833,0.884,15.6,8.331
"Vantaanjoki","2104900","1062","calibration",1086,0.657,0.777,0.827,0.686,1.6,1.589
"Vantaanjoki","2101220","1071","validation",365,0.608,0.764,0.773,0.644,9.09,10.1859
"Vantaanjoki","2101310","1063","validation",365,-1.05,0.34,0.318,0.583,-26.48,1.5034
"Vantaanjoki","2101500","1039","validation",350,0.626,0.837,0.794,0.662,6.57,3.2477
"Vantaanjoki","2101520","1066","validation",365,0.544,0.725,0.77,0.594,0.32,2.568
"Vantaanjoki","2101700","1073","validation",365,0.628,0.772,0.782,0.658,9.21,13.2333
"Vantaanjoki","2104900","1062","validation",323,-0.024,0.717,0.521,0.284,-10.56,3.2254
"Vironjoki","1100500","1030","calibration",1096,0.412,0.681,0.46,0.55,28.66,4.1536
"Vironjoki","1100500","1030","validation",365,0.366,0.613,0.454,0.464,24.07,4.4827
