"catchment","subid","full_2016_2025","post_warmup_2017","old_assumed_19_23","calib_17_22","y2020_2023","y2019_2025"
"Aurajoki",1049,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aurajoki",1037,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aurajoki",1001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Halikonjoki",1017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Halikonjoki",1005,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Halikonjoki",1001,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"Hirvijoki",1001,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"Hirvijoki",1005,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Hirvijoki",1013,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Hounijoki",1020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Hounijoki",1005,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Hounijoki",1001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ilolanjoki",1017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ilolanjoki",1005,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ilolanjoki",1001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Juustilanjoki",1001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Juustilanjoki",1005,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"Juustilanjoki",1018,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Karjaanjoki",1049,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Karjaanjoki",1065,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Karjaanjoki",1153,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kiskonjoki",1049,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kiskonjoki",1065,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kiskonjoki",1025,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Koskenkylanjoki",1049,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Koskenkylanjoki",1037,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Koskenkylanjoki",1001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Laajoki",1017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Laajoki",1005,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Laajoki",1001,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Mustijoki",1049,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mustijoki",1037,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mustijoki",1001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mynajoki",1017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mynajoki",1005,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"Mynajoki",1001,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Paimionjoki",1049,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
